#Creator: tempmonitorEventBuffer
#Creation time: Tue Nov 29 15:54:38 2016
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
143.449	43.53	143.700	46.56
143.950	43.53	144.201	46.56
144.451	43.53	144.701	46.56
144.951	43.53	145.201	46.42
145.452	43.53	145.702	46.56
145.953	43.53	146.203	46.42
146.454	43.53	146.703	46.56
146.954	43.53	147.204	46.56
147.455	43.53	147.705	46.56
147.956	43.53	148.206	46.42
148.457	43.53	148.706	46.56
148.957	43.53	149.207	46.42
149.458	43.53	149.708	46.42
