#Creator: wheelEventBuffer
#Creation time: Tue Mar 28 17:09:24 2017
#Time	Angular velocity
#[s]	[rad/s]
32.436846	6.265142
32.486858	6.298806
32.536622	6.327223
32.586172	6.355640
32.635462	6.388207
32.684548	6.414555
32.733408	6.444557
32.782042	6.475908
32.830438	6.503794
32.878620	6.538718
32.926534	6.573745
32.974204	6.607203
33.021620	6.644092
33.068768	6.682249
33.115666	6.716823
33.162316	6.751177
33.208748	6.782660
33.254956	6.813848
33.300974	6.842043
33.346788	6.871976
33.392414	6.899141
33.437854	6.929270
33.483112	6.953503
33.528212	6.980076
33.573114	7.009980
33.617860	7.033521
33.662442	7.060711
33.706856	7.086832
33.751096	7.112181
33.795178	7.143230
33.839058	7.174879
33.882752	7.205488
33.926252	7.238693
33.969546	7.273552
34.012652	7.304331
34.055572	7.334343
34.098326	7.362878
34.140916	7.389896
34.183356	7.415713
34.225642	7.443121
34.267780	7.467182
34.309774	7.496403
34.351620	7.518290
34.393344	7.542477
34.434908	7.570832
34.476350	7.592423
34.517660	7.617829
34.558832	7.644150
34.599856	7.667658
34.640756	7.696964
34.681492	7.726875
34.722074	7.755487
34.762504	7.785855
34.802770	7.817630
34.842888	7.846527
34.882852	7.873666
34.922692	7.899403
34.962398	7.924110
35.001992	7.946961
35.041458	7.972371
35.080808	7.994281
35.120042	8.022043
35.159150	8.042992
35.198164	8.065706
35.237036	8.092717
35.275814	8.113198
35.314478	8.137576
35.353030	8.161253
35.391466	8.182509
35.429796	8.211167
35.467990	8.239595
35.506058	8.265609
35.544002	8.293977
35.581806	8.325187
35.619492	8.349970
35.657056	8.375347
35.694518	8.398184
35.731872	8.421146
35.769136	8.442418
35.806294	8.465623
35.843356	8.487121
35.880318	8.513340
35.917178	8.532299
35.953958	8.553672
35.990618	8.579836
36.027200	8.599093
36.063682	8.623168
36.100072	8.645475
36.136356	8.666462
36.172554	8.693322
36.208636	8.719864
36.244612	8.745108
36.280482	8.771968
36.316234	8.801459
36.351882	8.825690
36.387432	8.849058
36.422904	8.866040
36.458316	8.878067
36.493708	8.879070
36.529106	8.872550
36.564556	8.853547
36.600090	8.831148
36.635742	8.794560
36.671540	8.759250
36.707464	8.726161
36.743550	8.688994
36.779776	8.654525
36.816150	8.621275
36.852656	8.584994
36.889318	8.556468
36.926100	8.525353
36.963020	8.492627
37.000076	8.463798
37.037254	8.436070
37.074576	8.401328
37.112044	8.366871
37.149674	8.331811
37.187458	8.296606
37.225416	8.257787
37.263538	8.223634
37.301826	8.185921
37.340286	8.152781
37.378916	8.112360
37.417734	8.075243
37.456708	8.042992
37.495874	8.002019
37.535226	7.964691
37.574758	7.930111
37.614468	7.889484
37.654378	7.855946
37.694450	7.823080
37.734696	7.788558
37.775120	7.755870
37.815706	7.724595
37.856470	7.690181
37.897418	7.654207
37.938564	7.616721
37.979912	7.578869
38.021482	7.538134
38.063260	7.500699
38.105260	7.458672
38.147486	7.422722
38.189934	7.379134
38.232638	7.336741
38.275558	7.299239
38.318740	7.253735
38.362174	7.211773
38.405866	7.170949
38.449800	7.127025
38.494002	7.089071
38.538436	7.051519
38.583112	7.012484
38.628030	6.975736
38.673174	6.941826
38.718564	6.902779
38.764204	6.863569
38.810116	6.822727
38.856302	6.781196
38.902788	6.736989
38.949568	6.693925
38.996664	6.647748
39.044080	6.604980
39.091822	6.555364
39.139926	6.508914
39.188352	6.463119
39.237160	6.412199
39.286342	6.363621
39.335902	6.315521
39.385834	6.265392
39.436164	6.220483
39.486842	6.176699
39.537890	6.132330
39.589294	6.090955
39.641038	6.051300
39.693148	6.008018
39.745626	5.964672
39.798508	5.918600
39.851800	5.871258
39.905548	5.820998
39.959744	5.772228
40.014424	5.719057
40.069612	5.667880
40.125322	5.611189
40.181606	5.554639
40.238436	5.499217
40.295894	5.438481
40.353978	5.379624
40.412700	5.321847
40.472058	5.261066
40.532092	5.206657
40.592746	5.152348
40.654040	5.098829
40.715970	5.047222
40.778520	4.997761
40.841718	4.945677
40.905578	4.893599
40.970150	4.838579
41.035468	4.781724
41.101600	4.721218
41.168584	4.660149
41.236490	4.593912
41.305386	4.528095
41.375328	4.456792
41.446418	4.384270
41.518672	4.311702
41.592232	4.232926
41.667158	4.154337
41.743528	4.075650
41.821368	3.995412
41.900772	3.919544
41.981686	3.846220
42.064160	3.773413
