#Creator: wheelEventBuffer
#Creation time: Tue Mar 28 15:36:10 2017
#Time	Angular velocity
#[s]	[rad/s]
10.784650	11.636390
10.811646	11.637252
10.838648	11.637252
10.865652	11.627776
10.892678	11.622614
10.919718	11.614021
10.946778	11.605440
10.973856	11.596872
11.000956	11.590027
11.028060	11.587462
11.055186	11.581481
11.082310	11.577213
11.109452	11.572096
11.136604	11.574654
11.163748	11.568687
11.190904	11.567835
11.218074	11.561024
11.245242	11.563577
11.272410	11.562726
11.299584	11.561875
11.326754	11.561875
11.353926	11.560173
11.381106	11.561024
11.408288	11.552521
11.435490	11.547426
11.462706	11.538096
11.489946	11.529627
11.517200	11.521170
11.544480	11.515258
11.571760	11.511039
11.599064	11.505980
11.626368	11.501767
11.653688	11.495875
11.681020	11.498399
11.708344	11.492510
11.735680	11.490829
11.763034	11.484108
11.790384	11.485788
11.817736	11.484948
11.845092	11.485788
11.872446	11.482429
11.899802	11.484108
11.927164	11.483269
11.954530	11.474880
11.981916	11.469853
12.009318	11.459811
12.036742	11.452292
12.064180	11.443948
12.091644	11.437282
12.119110	11.433952
12.146600	11.427298
12.174090	11.424804
12.201596	11.417330
12.229116	11.420651
12.256624	11.414841
12.284146	11.414012
12.311686	11.405724
12.339222	11.409038
12.366758	11.408209
12.394300	11.407381
12.421840	11.405724
12.449382	11.406552
12.476928	11.405724
12.504480	11.398275
12.532052	11.392489
12.559638	11.382582
12.587248	11.375987
12.614872	11.366932
12.642520	11.360355
12.670174	11.357070
12.697846	11.351325
12.725526	11.347225
12.753216	11.340671
12.780922	11.343947
12.808620	11.337397
12.836328	11.336579
12.864054	11.330037
12.891776	11.330854
12.919504	11.330037
12.947232	11.330854
12.974960	11.328403
13.002688	11.330037
13.030422	11.329220
13.058162	11.320239
13.085922	11.314531
13.113698	11.305573
13.141496	11.299067
13.169308	11.289322
13.197150	11.282835
13.224990	11.279594
13.252854	11.273928
13.280722	11.269883
13.308602	11.264226
13.336500	11.265034
13.364388	11.259382
13.392290	11.259382
13.420206	11.252123
13.448120	11.253735
13.476036	11.252929
13.503958	11.252123
13.531876	11.251317
13.559798	11.250511
13.587726	11.251317
13.615656	11.244068
13.643604	11.238437
13.671570	11.227994
13.699562	11.220775
13.727566	11.211965
13.755598	11.205567
13.783632	11.202370
13.811690	11.195982
13.839750	11.192791
13.867824	11.185618
13.895914	11.188805
13.923996	11.181637
13.952092	11.180841
13.980204	11.173683
14.008314	11.175273
14.036426	11.175273
14.064540	11.174478
14.092654	11.172888
14.120772	11.172888
14.148892	11.173683
14.177020	11.164947
14.205164	11.159394
14.233328	11.150680
14.261512	11.143561
14.289712	11.134082
14.317940	11.127772
14.346170	11.125408
14.374422	11.118321
14.402678	11.114387
14.430950	11.108885
14.459236	11.109671
14.487516	11.104173
14.515808	11.102603
14.544120	11.095545
14.572426	11.097113
14.600738	11.096329
14.629052	11.096329
14.657366	11.093194
14.685682	11.094761
14.714002	11.094761
14.742328	11.086931
14.770672	11.081456
14.799034	11.072082
14.827416	11.065842
14.855818	11.054939
14.884246	11.049496
14.912676	11.047165
14.941130	11.038625
14.969588	11.036298
14.998060	11.030873
15.026546	11.031648
15.055028	11.024679
15.083524	11.023906
15.112036	11.016947
15.140546	11.018493
15.169058	11.017720
15.197576	11.017720
15.226088	11.016175
15.254604	11.016947
15.283128	11.015402
15.311652	11.008454
15.340202	11.003827
15.368762	10.993815
15.397350	10.986126
15.425952	10.978448
15.454582	10.971547
15.483214	10.967716
15.511870	10.963123
15.540530	10.957006
15.569206	10.951658
15.597900	10.952422
15.626584	10.947842
15.655282	10.945553
15.683998	10.937931
15.712716	10.939455
15.741434	10.937931
15.770158	10.938693
15.798876	10.937931
15.827598	10.937170
15.856326	10.937931
15.885058	10.929560
15.913810	10.924239
15.942578	10.916647
15.971368	10.908308
16.000178	10.898469
16.029014	10.893178
16.057852	10.889403
16.086718	10.883367
16.115584	10.879598
16.144468	10.872068
16.173368	10.874326
16.202262	10.867554
16.231170	10.866051
16.260100	10.857789
16.289024	10.861543
16.317950	10.859290
16.346884	10.858540
16.375816	10.857038
16.404750	10.857789
16.433688	10.857038
16.462632	10.850289
16.491596	10.845045
16.520574	10.836067
16.549578	10.828597
16.578598	10.820392
16.607646	10.812944
16.636696	10.810711
16.665772	10.803276
16.694852	10.799562
16.723950	10.792884
16.753064	10.794367
16.782170	10.788436
16.811290	10.786955
16.840432	10.778812
16.869570	10.781032
16.898712	10.778812
16.927860	10.779552
16.957004	10.778073
16.986150	10.778073
17.015302	10.778073
17.044460	10.770682
17.073638	10.764777
17.102830	10.757405
17.132048	10.748572
17.161284	10.740488
17.190546	10.733882
17.219812	10.730949
17.249104	10.724355
17.278400	10.719232
17.307714	10.713384
17.337044	10.714114
17.366370	10.708271
17.395706	10.706812
17.425066	10.699519
17.454422	10.700247
17.483782	10.699519
17.513148	10.698790
17.542512	10.696604
17.571882	10.696604
17.601252	10.698790
17.630628	10.690053
17.660024	10.685689
17.689436	10.676248
17.718872	10.669721
17.748324	10.661031
17.777806	10.653800
17.807294	10.650189
17.836804	10.645136
17.866320	10.639368
17.895854	10.633606
17.925406	10.633606
17.954952	10.627851
17.984514	10.625694
18.014096	10.617793
18.043678	10.619229
18.073262	10.618511
18.102852	10.618511
18.132434	10.617793
18.162024	10.617076
18.191618	10.617076
18.221216	10.609904
18.250834	10.605606
18.280470	10.595591
18.310130	10.589162
18.339808	10.579890
18.369514	10.574193
18.399224	10.569923
18.428960	10.563526
18.458702	10.559265
18.488460	10.552172
18.518242	10.552881
18.548014	10.546504
18.577800	10.546504
18.607608	10.537307
18.637416	10.538721
18.667226	10.537307
18.697042	10.537307
18.726858	10.535187
18.756674	10.536600
18.786494	10.536600
18.816322	10.528831
18.846166	10.524599
18.876028	10.516143
18.905914	10.508405
18.935818	10.499975
18.965752	10.493662
18.995690	10.489458
19.025654	10.483158
19.055624	10.478961
19.085612	10.471976
19.115618	10.473372
19.145618	10.465696
19.175638	10.464302
19.205676	10.457335
19.235712	10.458031
19.265752	10.457335
19.295798	10.456639
19.325840	10.455247
19.355888	10.456639
19.385936	10.455247
19.415994	10.448293
19.446068	10.444819
19.476162	10.434412
19.506278	10.428870
19.536412	10.419185
19.566576	10.414349
19.596744	10.408139
19.626942	10.403314
19.657144	10.397116
19.687366	10.391614
19.717606	10.391614
19.747840	10.386117
19.778090	10.383371
19.808364	10.375826
19.838636	10.377197
19.868912	10.374456
19.899196	10.375141
19.929474	10.374456
19.959758	10.373085
19.990046	10.373770
20.020342	10.365556
20.050660	10.360087
20.080996	10.351211
20.111358	10.344395
20.141738	10.334866
20.172148	10.328750
20.202566	10.323998
20.233010	10.317895
20.263462	10.313153
20.293930	10.306386
20.324420	10.307063
20.354904	10.300304
20.385406	10.298278
20.415928	10.290856
20.446452	10.291531
20.476976	10.291531
20.507508	10.289508
20.538038	10.289508
20.568570	10.288160
20.599108	10.289508
20.629650	10.282772
20.660212	10.277390
20.690792	10.268656
20.721396	10.261948
20.752020	10.253909
20.782672	10.247220
20.813332	10.242543
20.844016	10.236535
20.874710	10.231868
20.905424	10.224542
20.936156	10.225207
20.966884	10.218555
20.997632	10.215897
21.028400	10.207930
21.059172	10.207930
21.089948	10.207930
21.120726	10.207267
21.151504	10.205941
21.182286	10.205941
21.213072	10.205941
21.243862	10.199976
21.274672	10.194019
21.305502	10.186086
21.336354	10.180145
21.367226	10.170258
21.398128	10.164335
21.429038	10.160390
21.459972	10.153822
21.490916	10.148574
21.521880	10.141367
21.552866	10.142677
21.583846	10.134170
21.614846	10.133516
21.645866	10.125677
21.676886	10.126330
21.707912	10.125025
21.738944	10.123720
21.769974	10.123067
21.801008	10.123067
21.832044	10.123720
21.863086	10.116547
21.894150	10.111989
21.925230	10.103533
21.956334	10.097688
21.987458	10.087960
22.018614	10.081486
22.049776	10.077605
22.080966	10.070498
22.112166	10.065981
22.143384	10.058890
22.174624	10.058890
22.205862	10.051810
22.237118	10.049238
22.268396	10.042171
22.299676	10.042171
22.330962	10.040887
22.362252	10.040887
22.393538	10.040245
22.424830	10.038962
22.456124	10.040887
22.487424	10.032550
22.518748	10.028707
22.550084	10.020390
22.581450	10.013363
22.612832	10.005072
22.644248	9.998704
22.675670	9.993614
22.707118	9.987896
22.738578	9.982817
22.770056	9.975210
22.801560	9.975210
22.833058	9.968247
22.864576	9.966349
22.896118	9.957504
22.927662	9.958767
22.959210	9.956242
22.990768	9.955611
23.022322	9.954980
23.053880	9.954980
23.085438	9.956873
23.117002	9.949305
23.148588	9.944266
23.180190	9.936718
23.211820	9.929808
23.243468	9.921028
23.275148	9.914766
23.306834	9.910387
23.338552	9.903514
23.370278	9.898521
23.402024	9.891665
23.433794	9.891042
23.465560	9.884195
23.497348	9.881087
23.529160	9.873633
23.560972	9.874254
23.592788	9.873633
23.624610	9.873013
23.656430	9.871772
23.688252	9.871772
23.720082	9.871151
23.751914	9.866191
23.783768	9.860617
23.815640	9.852577
23.847538	9.845784
23.879456	9.837767
23.911406	9.830995
23.943360	9.827304
23.975348	9.819318
24.007344	9.815023
24.039362	9.807669
24.071404	9.807057
24.103442	9.800938
24.135500	9.797270
24.167586	9.789333
24.199672	9.789333
24.231766	9.787503
24.263866	9.788113
24.295962	9.786283
24.328062	9.787503
24.360162	9.788113
24.392270	9.780799
24.424400	9.775929
24.456546	9.768634
24.488722	9.760743
24.520918	9.752259
24.553146	9.746208
24.585382	9.741977
24.617646	9.734732
24.649924	9.729305
24.682224	9.721477
24.714548	9.722079
24.746870	9.713662
24.779214	9.711260
24.811582	9.704061
24.843950	9.704660
24.876324	9.702862
24.908706	9.702263
24.941086	9.701064
24.973468	9.701064
25.005856	9.701663
25.038248	9.695077
25.070660	9.690890
25.103092	9.682527
25.135550	9.675966
25.168030	9.667629
25.200540	9.661088
25.233060	9.656337
25.265612	9.649219
25.298174	9.644479
25.330756	9.637379
25.363366	9.636196
25.395974	9.629108
25.428604	9.625567
25.461262	9.617906
25.493922	9.617317
25.526588	9.616139
25.559262	9.615550
25.591932	9.614962
25.624606	9.614962
25.657282	9.615550
25.689964	9.609080
25.722670	9.604380
25.755390	9.596752
25.788140	9.590307
25.820910	9.580947
25.853714	9.575691
25.886524	9.570440
25.919368	9.563448
25.952224	9.557047
25.985106	9.550656
26.018010	9.549494
26.050914	9.541953
26.083842	9.539635
26.116792	9.532110
26.149746	9.531531
26.182708	9.529796
26.215680	9.528640
26.248650	9.526906
26.281622	9.528062
26.314600	9.527484
26.347584	9.520555
26.380590	9.517670
26.413612	9.509028
26.446664	9.502125
26.479736	9.494085
26.512842	9.487204
26.545958	9.482622
26.579108	9.475186
26.612266	9.470616
26.645450	9.462628
26.678660	9.462628
26.711868	9.453517
26.745104	9.451241
26.778364	9.443287
26.811626	9.443287
26.844896	9.441584
26.878172	9.441584
26.911448	9.440449
26.944722	9.441017
26.978002	9.441017
27.011290	9.434212
27.044598	9.430814
27.077922	9.422893
27.111278	9.416115
27.144652	9.407656
27.178060	9.402025
27.211478	9.396401
27.244930	9.389661
27.278394	9.383491
27.311886	9.376769
27.345400	9.375090
27.378916	9.368380
27.412454	9.365029
27.446022	9.356661
27.479592	9.356661
27.513172	9.354433
27.546760	9.353319
27.580348	9.352205
27.613938	9.352205
27.647532	9.353319
27.681132	9.346640
27.714750	9.343860
27.748388	9.335530
27.782052	9.328877
27.815740	9.321127
27.849460	9.313942
27.883194	9.308974
27.916960	9.302359
27.950738	9.295753
27.984544	9.289156
28.018378	9.286959
28.052214	9.278731
28.086074	9.276539
28.119964	9.267235
28.153856	9.268875
28.187752	9.266688
28.221660	9.265049
28.255566	9.264502
28.289476	9.264502
28.323388	9.265049
28.357306	9.259587
28.391244	9.255222
28.425200	9.247594
28.459188	9.241066
28.493194	9.232918
28.527236	9.226410
28.561290	9.221535
28.595378	9.213962
28.629480	9.207481
28.663612	9.200470
28.697768	9.199393
28.731926	9.191856
28.766110	9.188093
