#Creator: wheelEventBuffer
#Creation time: Tue Mar 28 17:09:24 2017
#Time	Angular velocity
#[s]	[rad/s]
19.562538	3.889939
19.642144	4.008565
19.719528	4.116666
19.794942	4.218488
19.868624	4.312768
19.940716	4.405049
20.011308	4.496855
20.080486	4.588008
20.148276	4.681956
20.214710	4.775909
20.279840	4.875070
20.343652	4.972291
20.406206	5.072321
20.467584	5.169134
20.527792	5.268123
20.586890	5.364742
20.644956	5.459841
20.702014	5.552283
20.758164	5.641620
20.813422	5.729697
20.867874	5.812167
20.921560	5.892843
20.974558	5.966031
21.026908	6.036881
21.078680	6.102313
21.129896	6.166031
21.180582	6.229858
21.230756	6.294515
21.280406	6.360529
21.329538	6.426365
21.378164	6.498413
21.426246	6.568247
21.473800	6.642968
21.520862	6.712518
21.567404	6.786763
21.613442	6.860871
21.659000	6.933246
21.704080	7.004041
21.748720	7.074066
21.792912	7.143230
21.836696	7.208795
21.880080	7.274563
21.923096	7.335028
21.965758	7.392678
22.008112	7.444885
22.050166	7.496045
22.091932	7.547551
22.133422	7.597564
22.174626	7.650479
22.215548	7.701870
22.256188	7.761618
22.296522	7.816074
22.336552	7.877219
22.376304	7.932914
22.415750	7.995095
22.454896	8.054127
22.493762	8.115294
22.532330	8.173568
22.570632	8.233548
22.608650	8.292664
22.646410	8.348195
22.683914	8.405374
22.721182	8.456963
22.758216	8.508267
22.795052	8.551809
22.831696	8.594858
22.868152	8.639293
22.904430	8.681311
22.940524	8.726161
22.976436	8.768051
23.012166	8.819744
23.047692	8.866541
23.083016	8.917379
23.118164	8.963174
23.153108	9.016683
23.187844	9.069263
23.222392	9.121400
23.256734	9.171462
23.290896	9.223701
23.324858	9.275991
23.358634	9.326661
23.392226	9.378448
23.425648	9.424024
23.458898	9.470616
23.492010	9.509028
23.524982	9.547173
23.557822	9.584455
23.590538	9.622030
23.623124	9.659306
23.655580	9.696872
23.687910	9.741977
23.720090	9.782017
23.752126	9.826690
23.784040	9.866811
23.815802	9.914140
23.847414	9.959398
23.878888	10.006347
23.910210	10.051167
23.941398	10.097039
23.972432	10.147919
24.003322	10.193357
24.034072	10.239872
24.064690	10.283446
24.095172	10.328750
24.125542	10.362820
24.155806	10.398493
24.185966	10.433719
24.216032	10.464999
24.246002	10.500677
24.275870	10.531655
24.305648	10.573481
24.335308	10.609188
24.364856	10.650911
24.394312	10.684962
24.423654	10.728018
24.452876	10.770682
24.481992	10.812199
24.510986	10.855538
24.539872	10.897713
24.568638	10.944028
24.597288	10.986895
24.625822	11.033197
24.654248	11.073643
24.682560	11.115960
24.710788	11.148306
24.738926	11.180841
24.766982	11.212766
24.794964	11.243263
24.822866	11.274737
24.850690	11.303946
24.878440	11.343128
24.906096	11.375163
24.933662	11.412353
24.961160	11.444782
24.988560	11.484108
25.015868	11.522015
25.043090	11.562726
25.070210	11.602011
25.097244	11.641565
25.124176	11.685734
25.151014	11.727612
25.177752	11.770673
25.204402	11.808723
25.230960	11.848807
25.257442	11.881070
25.283848	11.911703
25.310190	11.941587
25.336468	11.968884
25.362684	11.999055
25.388834	12.023854
25.414928	12.060783
25.440944	12.089558
25.466884	12.125956
25.492770	12.154103
25.518578	12.190891
25.544306	12.226950
25.569964	12.264181
25.595538	12.300676
25.621044	12.337389
25.646458	12.382125
25.671794	12.419326
25.697044	12.463670
25.722218	12.498379
25.747312	12.537284
25.772346	12.567376
25.797314	12.595592
25.822226	12.624950
25.847086	12.651388
25.871890	12.679983
25.896640	12.702542
25.921344	12.736531
25.945982	12.764475
25.970556	12.797754
25.995088	12.822827
26.019552	12.858516
26.043948	12.892288
26.068294	12.921984
26.092584	12.943279
26.116848	12.958227
26.141090	12.960366
26.165350	12.943279
26.189646	12.920921
26.213994	12.886999
26.238404	12.852204
26.262892	12.809234
26.287456	12.768626
26.312098	12.728274
26.336832	12.679983
26.361656	12.629011
26.386584	12.574418
26.411612	12.533283
26.436720	12.489436
26.461908	12.451814
26.487188	12.407554
26.512544	12.371397
26.537978	12.331577
26.563502	12.288167
26.589106	12.246970
26.614802	12.208894
26.640562	12.177660
26.666396	12.144706
26.692300	12.111931
26.718282	12.073761
26.744342	12.034909
26.770506	11.984408
26.796772	11.935235
26.823144	11.889164
26.849622	11.842554
26.876202	11.796308
26.902890	11.743394
26.929698	11.700531
26.956606	11.647607
26.983622	11.606298
27.010752	11.558472
27.037974	11.519480
27.065292	11.479912
27.092712	11.438115
27.120226	11.394968
27.147850	11.352145
27.175566	11.316161
27.203374	11.277975
27.231276	11.242459
27.259274	11.200772
27.287378	11.157016
27.315604	11.104958
27.343960	11.053383
27.372446	11.002286
27.401070	10.950895
27.429824	10.899981
27.458720	10.842799
27.487760	10.796593
27.516924	10.746366
27.546216	10.700247
27.575650	10.651633
27.605204	10.607755
27.634880	10.562105
27.664692	10.516847
27.694622	10.472674
27.724686	10.429562
27.754864	10.389552
27.785168	10.345076
27.815598	10.302330
27.846168	10.253909
27.876872	10.208594
27.907736	10.153166
27.938762	10.097688
27.969962	10.040245
28.001348	9.980915
28.032910	9.925416
28.064654	9.866191
28.096580	9.817477
28.128672	9.761349
28.160930	9.711861
28.193382	9.655743
28.225996	9.607905
28.258770	9.559956
28.291726	9.510755
28.324836	9.461489
28.358134	9.411602
28.391592	9.365587
28.425226	9.316152
28.459038	9.267782
28.493040	9.212882
28.527242	9.158094
28.561666	9.097100
28.596320	9.034315
28.631214	8.971878
28.666362	8.905751
28.701766	8.842085
28.737422	8.776869
28.773338	8.720348
28.809490	8.659774
28.845878	8.603332
28.882536	8.542508
28.919428	8.487121
28.956560	8.432448
28.993948	8.376687
29.031570	8.320336
29.069466	8.263870
29.107604	8.209022
29.146014	8.150666
29.184698	8.092717
29.223680	8.027373
29.262974	7.963479
29.302612	7.891070
29.342612	7.817241
29.382994	7.742490
29.423772	7.666909
29.464946	7.593891
29.506518	7.518650
29.548500	7.450535
29.590864	7.380174
29.633616	7.314535
29.676788	7.243700
29.720350	7.179142
29.764306	7.114114
29.808684	7.047722
29.853470	6.979766
29.898710	6.911587
29.944388	6.843534
29.990548	6.770090
30.037210	6.696778
30.084418	6.615829
30.132206	6.533551
30.180636	6.443235
30.229746	6.352555
30.279570	6.259150
30.330146	6.165789
30.381488	6.073527
30.433612	5.980113
30.486538	5.894612
30.540236	5.806366
30.594726	5.723434
30.650060	5.636155
30.706220	5.552283
30.763240	5.467062
30.821188	5.379992
30.880070	5.290480
30.940000	5.198042
31.001010	5.102307
31.063216	5.001580
31.126720	4.896345
31.191678	4.781870
31.258242	4.661532
31.326624	4.532538
31.397004	4.399866
31.469562	4.264065
31.544514	4.124665
31.622040	3.984770
31.702346	3.843209
31.785654	3.705233
31.872132	3.565535
31.962040	3.427292
32.055794	3.283506
32.153786	3.136449
32.256626	2.982109
32.365174	2.818887
32.480512	2.642970
32.604438	2.448172
32.739528	2.229566
32.890264	1.978208
33.065242	1.677323
33.288412	1.277392
33.773426	0.562020
34.160088	0.538492
34.662678	1.186976
34.902326	1.568193
35.089134	1.858667
35.249294	2.103060
35.392288	2.317629
35.523042	2.508899
35.644466	2.680540
35.758604	2.837114
35.866716	2.983412
35.969780	3.120932
36.068494	3.252907
36.163318	3.377476
36.254720	3.501240
36.342996	3.622017
36.428328	3.744717
36.510934	3.865244
36.591012	3.985579
36.668710	4.104404
36.744208	4.221436
36.817658	4.337659
36.889204	4.447706
36.959032	4.554485
37.027280	4.655315
37.094092	4.752213
37.159566	4.845594
37.223824	4.936506
37.286910	5.023655
37.348956	5.107284
37.409982	5.188599
37.470080	5.267593
37.529292	5.347938
37.587624	5.423084
37.645144	5.500565
37.701888	5.575340
37.757830	5.655636
37.812994	5.735136
37.867394	5.816472
37.921038	5.896825
37.973948	5.978747
38.026154	6.059937
38.077678	6.135444
38.128578	6.210891
38.178880	6.281427
38.228626	6.351014
38.277830	6.417438
38.326542	6.484731
38.374740	6.550170
38.422484	6.613044
38.469764	6.675434
38.516620	6.734389
38.563064	6.797924
38.609072	6.856977
38.654682	6.918588
38.699916	6.975427
38.744740	7.039826
38.789166	7.103497
38.833204	7.166369
38.876844	7.230030
38.920104	7.294833
38.962984	7.360118
39.005498	7.419216
39.047680	7.478558
39.089532	7.534157
39.131082	7.589488
39.172326	7.643406
39.213292	7.696964
39.253958	7.751277
39.294358	7.804036
39.334480	7.855553
39.374344	7.905367
39.413960	7.959041
39.453302	8.008547
39.492404	8.060740
39.531270	8.108591
39.569878	8.163373
39.608236	8.216751
39.646344	8.272574
39.684198	8.326070
39.721804	8.380709
