#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 15:21:51 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
20.252	491	20.277	512
20.303	469	20.327	511
20.353	445	20.379	511
20.404	422	20.429	512
20.454	400	20.480	511
20.506	379	20.530	512
20.556	363	20.581	511
20.607	349	20.632	511
20.657	341	20.683	512
20.708	338	20.733	512
20.758	340	20.784	512
20.810	348	20.834	511
20.860	359	20.885	511
20.911	375	20.936	511
20.961	395	20.987	511
21.012	417	21.037	511
21.063	441	21.088	512
21.114	464	21.138	511
21.164	485	21.190	512
21.215	505	21.240	512
21.265	523	21.291	512
21.317	535	21.341	512
21.367	544	21.392	511
21.418	547	21.443	512
21.468	543	21.494	512
21.519	536	21.544	510
21.570	524	21.595	512
21.621	506	21.645	512
21.671	487	21.696	511
21.722	465	21.747	512
21.772	443	21.798	511
21.823	419	21.848	512
21.874	398	21.899	512
21.925	378	21.949	512
21.975	362	22.001	511
22.026	350	22.051	511
22.076	343	22.102	512
22.128	340	22.152	511
22.178	343	22.203	511
22.229	351	22.254	512
22.279	363	22.305	511
22.330	380	22.356	512
22.381	398	22.406	510
22.432	420	22.457	512
22.482	443	22.507	511
22.533	466	22.559	511
22.583	487	22.609	511
22.634	507	22.660	511
22.685	523	22.710	511
22.736	534	22.761	512
22.786	543	22.812	511
22.837	544	22.863	513
22.887	541	22.913	511
22.939	534	22.964	511
22.989	520	23.014	511
23.040	503	23.066	511
23.090	484	23.116	512
23.141	463	23.167	511
23.192	439	23.217	511
23.243	417	23.268	512
23.293	396	23.318	511
23.344	377	23.370	511
23.394	362	23.420	512
23.445	351	23.471	511
23.496	345	23.521	511
23.547	343	23.572	511
23.597	346	23.623	512
23.648	355	23.674	510
23.698	367	23.724	512
23.750	383	23.775	511
23.800	401	23.825	511
23.851	423	23.877	512
23.901	446	23.927	511
23.952	468	23.978	512
24.003	489	24.028	512
24.054	508	24.079	512
24.104	522	24.130	511
24.155	534	24.181	511
24.205	541	24.231	512
24.256	542	24.282	512
24.307	539	24.332	511
24.358	531	24.383	512
24.408	517	24.434	511
24.459	499	24.485	512
24.509	481	24.535	512
24.561	459	24.586	511
24.611	436	24.636	512
24.662	414	24.688	512
24.712	394	24.738	511
24.763	377	24.789	512
24.814	362	24.839	511
24.865	352	24.890	511
24.915	345	24.941	511
24.966	344	24.992	511
25.016	348	25.042	511
25.067	357	25.093	510
25.118	370	25.143	511
25.169	385	25.194	511
25.219	406	25.245	510
25.270	426	25.296	512
25.320	448	25.346	511
25.372	470	25.397	512
25.422	490	25.447	512
25.473	509	25.499	512
25.523	523	25.549	512
25.574	534	25.600	511
25.625	539	25.650	512
25.676	540	25.701	511
25.726	536	25.752	512
25.777	528	25.803	511
25.827	514	25.853	511
25.878	497	25.904	510
25.929	477	25.954	513
25.980	456	26.005	512
26.030	434	26.056	511
26.081	413	26.107	512
26.131	394	26.157	510
26.183	375	26.208	511
26.233	363	26.258	511
26.284	352	26.310	511
26.334	348	26.360	511
26.385	348	26.411	511
26.436	351	26.461	511
26.487	361	26.512	511
26.537	374	26.563	512
26.588	390	26.614	512
26.638	409	26.664	512
26.690	431	26.715	512
26.740	452	26.765	511
26.791	472	26.816	512
26.841	492	26.867	512
26.892	509	26.918	512
26.942	523	26.968	511
26.994	532	27.019	511
27.044	536	27.069	512
27.095	537	27.121	511
27.145	532	27.171	512
27.196	522	27.222	513
27.247	510	27.272	512
27.298	493	27.323	512
27.348	474	27.374	511
27.399	453	27.425	512
27.449	432	27.475	511
27.501	410	27.526	511
27.551	392	27.576	511
27.602	375	27.627	510
27.652	362	27.678	511
27.703	353	27.729	511
27.753	350	27.779	511
27.805	348	27.830	511
27.855	354	27.880	510
27.906	363	27.932	511
27.956	376	27.982	512
28.007	393	28.033	511
28.058	413	28.083	512
28.109	432	28.134	512
28.159	454	28.185	512
28.210	475	28.236	512
28.260	494	28.286	512
28.312	510	28.337	511
28.362	523	28.387	512
28.413	533	28.438	511
28.463	536	28.489	512
28.514	536	28.540	511
28.564	531	28.590	511
28.616	520	28.641	511
