#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 16:56:22 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
27.906	457	27.931	562
27.956	448	27.981	552
28.007	439	28.032	544
28.057	434	28.083	538
28.108	430	28.134	537
28.158	429	28.184	538
28.210	429	28.235	543
28.260	433	28.285	548
28.311	440	28.337	558
28.361	448	28.387	569
28.412	456	28.438	580
28.463	465	28.488	593
28.514	477	28.539	607
28.564	488	28.590	619
28.615	499	28.641	630
28.665	507	28.691	641
28.717	515	28.742	646
28.767	521	28.792	652
28.818	525	28.843	652
28.868	526	28.894	651
28.919	525	28.945	647
28.969	520	28.995	640
29.021	513	29.046	631
29.071	506	29.096	621
29.122	497	29.148	607
29.172	487	29.198	596
29.223	476	29.249	583
29.274	466	29.299	571
29.325	457	29.350	560
29.375	447	29.401	553
29.426	440	29.452	545
29.476	435	29.502	542
29.528	432	29.553	542
29.578	432	29.603	543
29.629	432	29.654	546
29.679	435	29.705	554
29.730	442	29.756	561
29.780	449	29.806	572
29.832	458	29.857	585
29.882	469	29.907	596
29.933	478	29.959	607
29.983	488	30.009	619
30.034	498	30.060	629
30.085	507	30.110	638
30.136	514	30.161	644
30.186	519	30.212	647
30.237	522	30.263	648
30.287	525	30.313	647
30.339	522	30.364	643
30.389	518	30.414	635
30.440	511	30.466	628
30.490	504	30.516	616
30.541	496	30.567	605
30.591	486	30.617	593
30.643	475	30.668	582
30.693	465	30.718	571
30.744	456	30.770	561
30.794	448	30.820	554
30.845	440	30.871	547
30.896	437	30.921	545
30.947	432	30.972	545
30.997	433	31.023	545
31.048	435	31.074	550
31.098	438	31.124	558
31.150	444	31.175	566
31.200	451	31.225	575
31.251	460	31.277	587
31.301	470	31.327	597
31.352	480	31.378	608
31.402	490	31.428	618
31.454	498	31.479	629
31.504	507	31.529	637
31.555	514	31.581	640
31.605	518	31.631	644
31.656	522	31.682	645
31.707	523	31.732	641
31.758	520	31.783	637
31.808	516	31.834	632
31.859	510	31.885	623
31.909	502	31.935	615
31.961	493	31.986	603
32.011	483	32.036	593
32.062	474	32.088	581
32.112	464	32.138	571
32.163	456	32.189	564
32.213	449	32.239	556
32.265	443	32.290	552
32.315	436	32.340	549
32.366	434	32.392	548
32.416	434	32.442	551
32.467	437	32.493	555
32.518	441	32.543	562
32.569	447	32.594	568
32.619	453	32.645	578
32.670	461	32.696	589
32.720	472	32.746	601
32.772	480	32.797	608
32.822	491	32.847	619
32.873	499	32.899	627
32.923	508	32.949	634
32.974	512	33.000	638
33.024	517	33.050	641
33.076	519	33.101	640
33.127	521	33.151	640
33.177	518	33.203	634
33.228	513	33.253	628
33.278	508	33.304	620
33.330	499	33.354	610
33.380	491	33.405	600
33.431	482	33.456	590
33.481	474	33.507	582
33.532	462	33.557	571
33.583	455	33.608	565
33.634	449	33.658	557
33.684	441	33.710	553
33.735	439	33.760	551
33.785	436	33.811	551
33.837	435	33.861	555
33.887	438	33.912	558
33.938	443	33.962	565
33.988	450	34.014	573
34.039	455	34.064	582
34.089	465	34.115	590
34.141	472	34.165	601
34.191	483	34.216	610
34.242	491	34.267	618
34.292	500	34.318	625
34.343	507	34.368	631
34.394	512	34.419	636
34.445	515	34.469	638
34.495	516	34.521	638
34.546	517	34.571	636
34.596	517	34.622	631
34.648	511	34.672	624
34.698	505	34.723	616
34.749	497	34.773	609
34.799	489	34.825	599
34.850	480	34.875	590
34.900	471	34.926	580
34.952	463	34.976	573
35.002	456	35.027	566
35.053	447	35.078	559
35.103	443	35.129	557
35.154	439	35.179	556
35.205	438	35.230	556
35.256	440	35.280	557
35.306	441	35.332	563
35.357	445	35.382	567
35.407	451	35.433	575
35.459	460	35.483	582
35.509	466	35.534	592
35.560	476	35.584	601
35.610	484	35.636	610
35.661	493	35.686	617
35.711	498	35.737	624
35.763	506	35.787	629
35.813	512	35.838	632
35.864	515	35.889	635
35.914	516	35.940	633
35.965	517	35.990	631
36.016	512	36.041	628
36.067	509	36.092	620
36.117	502	36.143	614
36.168	494	36.194	606
36.218	487	36.244	597
36.270	478	36.295	589
36.320	469	36.345	582
36.371	461	36.397	573
36.421	454	36.447	567
36.472	449	36.498	563
36.522	445	36.548	559
36.574	442	36.599	559
36.624	440	36.649	559
36.675	441	36.701	563
36.725	445	36.751	565
36.776	448	36.802	570
36.827	454	36.852	578
36.878	460	36.903	585
36.928	468	36.954	593
36.979	478	37.005	600
37.029	486	37.055	609
37.081	493	37.106	616
37.131	501	37.156	622
37.182	506	37.208	626
37.232	510	37.258	630
37.283	514	37.309	631
37.333	514	37.359	631
37.385	513	37.410	628
37.435	509	37.460	622
37.486	506	37.512	618
37.536	499	37.562	611
37.587	493	37.613	604
37.638	483	37.663	597
37.689	478	37.714	589
37.739	468	37.765	581
37.790	461	37.816	574
37.840	453	37.866	569
37.892	449	37.917	565
37.942	445	37.967	563
37.993	443	38.019	563
38.043	442	38.069	562
38.094	443	38.120	566
38.144	446	38.170	569
38.196	451	38.221	573
38.246	458	38.271	581
38.297	464	38.323	587
38.347	472	38.373	594
38.398	479	38.424	603
38.449	486	38.474	607
38.500	494	38.525	615
38.550	501	38.576	619
38.601	505	38.627	625
38.651	510	38.677	627
38.703	512	38.728	627
38.753	512	38.778	627
38.804	510	38.830	624
38.854	509	38.880	621
38.905	502	38.931	615
38.955	497	38.981	610
39.007	490	39.032	602
39.057	481	39.082	595
39.108	475	39.134	589
39.158	467	39.184	581
39.209	460	39.235	576
39.260	454	39.285	572
39.311	450	39.336	568
39.362	447	39.387	564
39.412	444	39.438	565
39.463	445	39.488	566
39.514	445	39.539	569
39.565	450	39.589	571
39.615	453	39.641	576
39.666	460	39.691	581
39.716	466	39.742	588
39.768	473	39.792	595
39.818	481	39.843	602
39.869	488	39.893	608
39.919	494	39.945	613
39.970	501	39.995	618
40.020	505	40.046	621
40.072	508	40.096	623
40.122	510	40.147	626
40.173	510	40.198	624
40.223	508	40.249	622
40.274	505	40.299	618
40.325	499	40.350	613
40.376	494	40.400	608
40.426	488	40.452	600
40.477	479	40.502	595
40.527	473	40.553	587
40.579	467	40.603	583
40.629	460	40.654	577
40.680	454	40.704	574
40.730	450	40.756	570
40.781	447	40.806	568
40.831	446	40.857	567
40.883	447	40.907	568
40.933	448	40.958	572
40.984	452	41.009	574
41.034	456	41.060	578
41.085	462	41.110	584
41.136	467	41.161	589
41.187	475	41.211	595
41.237	483	41.263	601
41.288	488	41.313	607
41.338	496	41.364	611
41.390	500	41.414	615
41.440	504	41.465	620
41.491	507	41.515	619
41.541	507	41.567	622
41.592	506	41.617	621
41.642	505	41.668	617
41.694	503	41.718	615
41.744	496	41.769	611
41.795	492	41.820	605
41.845	485	41.871	601
41.896	477	41.921	595
41.947	472	41.972	589
41.998	465	42.022	583
42.048	459	42.074	579
42.099	454	42.124	576
42.149	451	42.175	571
42.201	448	42.225	571
42.251	450	42.276	569
42.302	450	42.326	571
42.352	451	42.378	574
42.403	454	42.429	575
42.453	459	42.479	581
42.505	466	42.530	585
42.555	469	42.580	591
42.606	477	42.632	596
42.656	483	42.682	600
42.707	489	42.733	607
42.758	494	42.783	610
42.809	499	42.834	614
42.859	503	42.885	616
42.910	505	42.936	618
42.960	505	42.986	618
43.012	505	43.037	617
43.062	502	43.087	614
43.113	499	43.139	612
43.163	493	43.189	608
43.214	487	43.240	604
43.264	481	43.290	598
43.316	476	43.341	594
43.366	471	43.391	589
43.417	464	43.443	585
43.467	460	43.493	582
43.518	456	43.544	577
43.569	452	43.594	575
43.620	450	43.645	573
43.670	450	43.696	572
43.721	452	43.747	573
43.771	454	43.797	576
43.823	458	43.848	578
43.873	463	43.898	583
43.924	467	43.950	587
43.974	472	44.000	590
44.025	479	44.051	597
44.075	484	44.101	601
44.127	491	44.152	605
44.177	495	44.202	610
44.228	499	44.254	611
44.278	501	44.304	615
44.329	503	44.355	616
44.380	503	44.405	616
44.431	501	44.456	615
44.481	499	44.507	613
44.532	495	44.558	610
44.582	492	44.608	608
44.634	486	44.659	603
44.684	481	44.709	599
44.735	475	44.761	595
44.785	469	44.811	590
44.836	464	44.862	585
44.886	460	44.912	582
44.938	455	44.963	578
44.988	455	45.013	577
45.039	452	45.065	575
45.089	452	45.115	576
45.140	454	45.166	575
45.191	458	45.216	577
45.242	460	45.267	581
45.292	465	45.318	585
45.343	471	45.369	588
45.393	475	45.419	592
45.445	479	45.470	597
45.495	485	45.520	600
45.546	491	45.572	604
45.596	494	45.622	608
45.647	498	45.673	610
45.698	500	45.723	613
45.749	501	45.774	613
45.799	500	45.824	614
45.850	498	45.876	616
45.900	496	45.926	612
45.951	493	45.977	609
46.002	488	46.027	606
46.053	483	46.078	603
46.103	479	46.129	598
46.154	473	46.180	593
