#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 16:56:22 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
20.707	488	20.732	689
20.758	489	20.783	693
20.809	489	20.833	690
20.859	488	20.885	681
20.910	488	20.935	668
20.960	489	20.986	650
21.012	489	21.036	628
21.062	488	21.087	603
21.113	487	21.138	577
21.163	487	21.189	551
21.214	486	21.239	528
21.264	485	21.290	506
21.316	483	21.340	488
21.366	482	21.391	474
21.417	481	21.442	469
21.467	480	21.493	467
21.518	479	21.543	471
21.569	477	21.594	480
21.620	476	21.644	494
21.670	476	21.696	512
21.721	475	21.746	536
21.771	476	21.797	559
21.823	476	21.847	585
21.873	477	21.898	610
21.924	477	21.949	634
21.974	480	22.000	654
22.025	481	22.050	671
22.076	484	22.101	682
22.127	486	22.151	688
22.177	488	22.202	687
22.228	490	22.253	682
22.278	492	22.304	672
22.329	493	22.354	656
22.380	494	22.405	636
22.431	494	22.455	613
22.481	494	22.507	589
22.532	493	22.557	564
22.582	493	22.608	539
22.634	491	22.658	518
22.684	488	22.709	498
22.735	487	22.760	484
22.785	484	22.811	476
22.836	481	22.862	470
22.887	478	22.912	472
22.938	476	22.963	480
22.988	474	23.013	492
23.039	472	23.065	508
23.089	469	23.115	526
23.140	469	23.166	550
23.191	468	23.216	574
23.242	469	23.267	599
23.292	469	23.318	622
23.343	472	23.369	642
23.393	475	23.419	660
23.445	477	23.470	674
23.495	480	23.520	681
23.546	483	23.572	684
23.596	489	23.622	681
23.647	493	23.673	671
23.698	496	23.723	658
23.749	498	23.774	641
23.799	501	23.824	620
23.850	503	23.876	597
23.900	503	23.926	574
23.951	502	23.977	552
24.002	501	24.027	528
24.053	498	24.078	509
24.103	494	24.129	496
24.154	490	24.180	484
24.204	485	24.230	478
24.256	479	24.281	477
24.306	476	24.331	479
24.357	471	24.383	490
24.407	466	24.433	503
24.458	463	24.484	522
24.509	460	24.534	542
24.560	459	24.585	564
24.610	460	24.636	587
24.661	461	24.687	610
24.711	464	24.737	629
24.762	467	24.788	649
24.813	471	24.838	662
24.864	477	24.889	671
24.914	482	24.940	677
24.965	488	24.991	677
25.015	493	25.041	670
25.067	499	25.092	661
25.117	503	25.142	646
25.168	506	25.194	628
25.218	509	25.244	607
25.269	509	25.295	586
25.320	509	25.345	562
25.371	508	25.396	542
25.421	505	25.447	524
25.472	500	25.498	506
25.522	495	25.548	494
25.573	490	25.599	486
25.624	483	25.649	483
25.675	477	25.700	485
25.725	470	25.751	491
25.776	465	25.802	502
25.826	460	25.852	518
25.878	456	25.903	535
25.928	454	25.953	556
25.979	454	26.005	577
26.029	454	26.055	598
26.080	457	26.106	619
26.131	461	26.156	637
26.182	465	26.207	651
26.232	471	26.258	662
26.283	477	26.309	668
26.333	484	26.359	670
26.384	491	26.410	667
26.435	499	26.460	659
26.486	504	26.511	647
26.536	510	26.562	631
26.587	514	26.613	613
26.637	516	26.663	593
26.689	516	26.714	573
26.739	516	26.764	553
26.790	513	26.816	534
26.840	507	26.866	517
26.891	502	26.917	504
26.942	495	26.967	496
26.993	488	27.018	491
27.043	480	27.069	490
27.094	472	27.120	495
27.144	465	27.170	503
27.196	458	27.221	515
27.246	453	27.271	530
27.297	449	27.322	548
27.347	448	27.373	568
27.398	447	27.424	588
27.448	448	27.474	607
27.500	452	27.525	624
27.550	458	27.575	640
27.601	464	27.627	651
27.651	471	27.677	659
27.702	479	27.728	663
27.753	488	27.778	661
27.804	496	27.829	657
27.854	504	27.880	646
27.905	512	27.931	635
27.955	517	27.981	619
28.007	522	28.032	602
28.057	522	28.082	582
28.108	522	28.133	564
28.158	520	28.184	546
28.209	515	28.235	530
28.259	509	28.285	516
28.311	501	28.336	504
28.361	493	28.386	499
28.412	483	28.438	497
28.462	474	28.488	499
28.513	465	28.539	505
28.564	458	28.589	516
28.615	451	28.640	529
28.665	446	28.691	543
28.716	443	28.742	561
28.766	440	28.792	579
28.818	441	28.843	597
28.868	446	28.893	613
28.919	450	28.944	628
28.969	456	28.995	640
29.020	466	29.046	649
29.070	474	29.096	653
29.122	484	29.147	655
29.172	494	29.197	651
29.223	504	29.249	644
29.273	512	29.299	634
29.324	519	29.350	622
29.375	525	29.400	606
29.426	528	29.451	589
29.476	527	29.502	572
29.527	526	29.553	556
29.577	522	29.603	540
29.629	515	29.654	528
29.679	508	29.704	517
29.730	499	29.756	510
29.780	489	29.806	506
29.831	479	29.857	506
29.881	468	29.907	510
29.933	458	29.958	517
29.983	450	30.008	528
30.034	444	30.060	541
30.084	439	30.110	556
30.135	437	30.161	572
30.186	437	30.211	587
30.237	438	30.262	603
30.287	444	30.313	617
30.338	451	30.364	629
30.388	458	30.414	639
30.440	468	30.465	644
30.490	479	30.515	646
30.541	490	30.567	645
30.591	501	30.617	641
30.642	512	30.668	632
30.692	519	30.718	621
30.744	526	30.769	608
30.794	530	30.819	595
30.845	532	30.871	580
30.895	532	30.921	564
30.946	529	30.972	550
30.997	524	31.022	538
31.048	516	31.073	527
31.098	506	31.124	520
31.149	495	31.175	514
31.199	484	31.225	515
31.251	472	31.276	514
31.301	461	31.326	521
31.352	452	31.378	529
31.402	443	31.428	539
31.453	438	31.479	551
31.503	433	31.529	565
31.555	432	31.580	580
31.605	434	31.630	593
31.656	438	31.682	607
31.706	443	31.732	618
31.757	451	31.783	628
31.809	462	31.833	633
31.859	473	31.884	638
31.910	485	31.935	638
31.960	496	31.986	635
32.011	508	32.036	628
32.062	518	32.087	621
32.113	527	32.137	610
32.163	532	32.189	598
32.214	536	32.239	585
32.264	536	32.290	572
32.316	534	32.340	560
32.366	530	32.391	547
32.417	522	32.441	538
32.467	513	32.493	531
32.518	500	32.543	526
32.568	489	32.594	523
32.620	477	32.644	525
32.670	465	32.695	528
32.721	453	32.746	533
32.771	445	32.797	541
32.822	436	32.847	550
