#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 16:56:22 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
26.283	508	26.309	541
26.334	521	26.360	542
26.385	529	26.410	543
26.436	540	26.461	544
26.486	546	26.511	542
26.537	549	26.563	541
26.587	550	26.613	543
26.638	548	26.664	543
26.689	543	26.714	542
26.740	534	26.765	542
26.790	525	26.816	542
26.841	513	26.867	543
26.891	502	26.917	543
26.943	490	26.968	543
26.993	479	27.018	543
27.044	466	27.070	542
27.094	458	27.120	542
27.145	449	27.171	541
27.196	442	27.221	543
27.247	440	27.272	543
27.297	441	27.322	542
27.348	442	27.374	542
27.398	448	27.424	544
27.449	455	27.475	542
27.500	463	27.525	543
27.551	474	27.576	544
27.601	487	27.627	542
27.652	497	27.678	542
27.702	509	27.728	544
27.754	520	27.779	544
27.804	530	27.829	543
27.855	538	27.881	542
27.905	543	27.931	543
27.956	547	27.982	542
28.007	548	28.032	541
28.058	545	28.083	542
28.108	540	28.133	542
28.159	533	28.185	543
28.209	523	28.235	544
28.260	513	28.286	542
28.311	501	28.336	542
28.362	488	28.387	543
28.412	479	28.438	543
28.463	468	28.489	543
28.513	460	28.539	542
28.565	451	28.590	541
28.615	446	28.640	542
28.666	443	28.692	542
28.716	443	28.742	541
28.767	443	28.793	542
28.818	450	28.843	542
28.869	458	28.894	543
28.919	465	28.945	542
28.970	476	28.996	543
29.020	486	29.046	543
29.071	497	29.097	543
29.122	508	29.147	543
29.173	521	29.198	545
29.224	530	29.249	543
29.274	536	29.300	541
29.325	542	29.350	543
29.376	544	29.401	543
29.427	545	29.451	542
29.477	542	29.503	542
29.528	539	29.553	544
29.578	530	29.604	541
29.630	520	29.654	542
29.680	512	29.705	544
29.731	500	29.756	543
29.781	489	29.807	541
29.832	478	29.857	543
29.882	469	29.908	542
29.934	460	29.958	541
29.984	452	30.009	542
30.035	448	30.060	543
30.085	446	30.111	543
30.136	445	30.161	543
30.187	449	30.212	543
30.238	451	30.262	543
30.288	460	30.314	543
30.339	467	30.364	543
30.389	478	30.415	544
30.441	488	30.465	543
30.491	498	30.516	542
30.542	509	30.567	543
30.592	519	30.618	543
30.643	529	30.668	543
30.693	534	30.719	542
30.745	540	30.769	542
30.795	542	30.820	543
30.846	544	30.871	543
30.896	540	30.922	542
30.947	536	30.972	542
30.998	528	31.023	543
31.049	520	31.073	543
31.099	512	31.125	542
31.150	500	31.175	543
31.200	489	31.226	543
31.252	480	31.276	541
