#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
35.458	327	35.484	360
35.509	314	35.535	337
35.560	284	35.585	326
35.611	267	35.636	331
35.661	265	35.687	332
35.712	260	35.738	355
35.762	270	35.788	378
35.814	291	35.839	409
35.864	315	35.889	451
35.915	337	35.941	494
35.965	371	35.991	544
36.016	416	36.042	586
36.066	446	36.092	619
36.118	485	36.143	658
36.168	516	36.193	683
36.219	538	36.245	703
36.269	568	36.295	710
36.320	583	36.346	710
36.371	593	36.396	713
36.422	584	36.447	687
36.473	583	36.498	666
36.523	562	36.549	629
36.574	542	36.599	595
36.625	503	36.650	553
36.676	480	36.700	506
36.726	432	36.752	469
36.777	401	36.802	431
36.827	365	36.853	395
36.879	335	36.903	367
36.929	304	36.954	347
36.980	279	37.004	331
37.030	269	37.056	341
37.081	270	37.106	339
37.131	259	37.157	362
37.183	269	37.207	390
37.233	289	37.258	420
37.284	313	37.309	458
37.334	350	37.360	501
37.385	372	37.410	550
37.436	422	37.461	577
37.487	448	37.511	619
37.537	488	37.563	656
37.588	521	37.613	680
37.638	543	37.664	699
37.690	577	37.714	705
37.740	583	37.765	701
37.791	581	37.815	704
37.841	587	37.867	677
37.892	574	37.917	658
37.942	561	37.968	625
37.994	540	38.018	578
38.044	507	38.069	554
38.095	472	38.120	505
38.145	432	38.171	458
38.196	393	38.221	427
38.247	360	38.272	401
38.298	327	38.322	373
38.348	297	38.374	355
38.399	278	38.424	339
38.449	269	38.475	340
38.501	260	38.525	351
38.551	260	38.576	376
38.602	273	38.626	398
38.652	288	38.678	430
38.703	314	38.728	466
38.753	347	38.779	502
38.805	380	38.829	548
38.855	425	38.880	586
38.906	456	38.931	621
38.956	492	38.982	654
39.007	526	39.032	680
39.058	551	39.083	689
39.109	570	39.133	704
39.159	581	39.185	699
39.210	591	39.235	684
39.260	583	39.286	677
39.312	574	39.336	650
39.362	561	39.387	618
39.413	538	39.437	577
39.463	505	39.489	539
39.514	467	39.540	499
39.564	435	39.590	462
39.616	401	39.641	422
39.666	353	39.691	404
39.717	326	39.743	377
39.767	298	39.793	361
39.818	270	39.844	352
39.869	258	39.894	358
39.920	258	39.945	360
39.970	256	39.996	383
40.021	278	40.047	411
40.071	289	40.097	432
40.123	314	40.148	474
40.173	353	40.198	506
40.224	385	40.250	550
40.274	425	40.300	587
40.325	463	40.351	619
40.375	490	40.401	650
40.427	523	40.452	676
40.477	553	40.502	685
40.528	577	40.554	694
40.578	594	40.604	694
40.629	586	40.655	687
40.680	589	40.705	663
40.731	574	40.756	645
40.781	560	40.807	611
40.832	528	40.858	573
40.882	502	40.908	532
40.934	464	40.959	494
40.984	430	41.009	462
41.035	394	41.061	430
41.085	352	41.111	398
41.136	317	41.162	377
41.186	292	41.212	361
41.238	275	41.263	360
41.288	263	41.313	360
41.339	253	41.365	373
41.389	262	41.415	394
41.440	270	41.466	409
41.491	300	41.516	443
41.542	326	41.567	475
41.592	350	41.618	514
41.643	391	41.669	551
41.693	424	41.719	591
41.745	469	41.770	620
41.795	496	41.820	656
41.846	534	41.872	673
