#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
19.794	346	19.819	585
19.845	389	19.871	528
19.895	442	19.921	487
19.946	489	19.972	441
19.996	524	20.022	410
20.048	553	20.073	394
20.098	574	20.123	366
20.149	588	20.175	379
20.199	585	20.225	391
20.250	580	20.276	411
20.301	560	20.326	455
20.352	516	20.377	498
20.402	483	20.428	544
20.453	434	20.479	593
20.503	394	20.529	649
20.555	339	20.580	697
20.605	285	20.630	734
20.656	254	20.682	773
20.706	217	20.732	805
20.757	185	20.783	823
20.807	172	20.833	825
20.859	164	20.884	824
20.909	165	20.934	798
20.960	191	20.986	768
21.010	207	21.036	734
21.061	250	21.087	696
21.112	289	21.137	649
21.163	337	21.188	590
21.213	389	21.239	539
21.264	431	21.290	498
21.314	467	21.340	449
21.366	517	21.391	415
21.416	553	21.441	397
21.467	577	21.493	378
21.517	581	21.543	387
21.568	583	21.594	396
21.619	571	21.644	413
21.670	552	21.695	445
21.720	521	21.745	481
21.771	483	21.797	541
21.821	442	21.847	587
21.872	395	21.898	643
21.923	347	21.948	692
21.974	300	21.999	728
22.024	257	22.050	774
22.075	218	22.101	796
22.125	192	22.151	819
22.177	180	22.202	824
22.227	175	22.252	825
22.278	173	22.304	799
22.328	187	22.354	778
22.379	212	22.405	749
22.430	246	22.455	701
22.481	290	22.506	652
22.531	333	22.556	593
22.582	372	22.608	542
22.632	425	22.658	504
22.683	473	22.709	455
22.734	503	22.759	422
22.785	536	22.810	391
22.836	559	22.861	378
22.886	582	22.912	380
22.937	575	22.962	388
22.988	573	23.013	412
23.039	557	23.063	443
23.089	519	23.115	477
23.140	483	23.165	530
23.190	448	23.216	585
23.242	401	23.266	629
23.292	350	23.317	678
23.343	298	23.367	730
23.393	267	23.419	770
23.444	230	23.469	800
23.494	197	23.520	810
23.546	187	23.570	818
23.596	183	23.621	818
23.647	176	23.672	806
23.697	197	23.723	780
23.748	220	23.773	746
23.799	241	23.824	702
23.850	291	23.874	653
23.900	324	23.926	608
23.951	382	23.976	560
24.001	421	24.027	508
24.053	473	24.077	464
24.103	502	24.128	426
24.154	535	24.179	392
24.204	555	24.230	382
24.255	577	24.280	376
24.305	568	24.331	390
24.357	563	24.381	406
24.407	553	24.432	440
24.458	526	24.483	481
24.508	488	24.534	532
24.559	451	24.584	568
24.610	398	24.635	627
24.661	364	24.685	668
24.711	314	24.737	723
24.762	276	24.787	762
24.812	239	24.838	786
24.864	208	24.888	816
24.914	182	24.939	817
24.965	181	24.990	819
25.015	180	25.041	803
25.066	193	25.091	783
