#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 15:55:59 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
29.374	445	29.400	468
29.425	444	29.451	468
29.475	443	29.501	467
29.527	443	29.552	468
29.577	443	29.602	468
29.628	443	29.654	468
29.678	443	29.704	468
29.729	444	29.755	468
29.780	443	29.805	468
29.831	444	29.856	467
29.881	443	29.907	467
29.932	442	29.958	467
29.982	443	30.008	467
30.033	442	30.059	467
30.084	442	30.109	468
30.135	445	30.160	468
30.186	443	30.211	468
30.236	443	30.262	467
30.287	444	30.312	467
30.338	444	30.363	466
30.389	444	30.413	468
30.439	443	30.465	466
30.490	443	30.515	467
30.540	443	30.566	467
30.592	444	30.616	467
30.642	442	30.667	468
30.693	443	30.718	467
30.743	442	30.769	468
30.794	444	30.819	468
30.844	444	30.870	467
30.896	444	30.920	467
30.946	444	30.971	467
30.997	443	31.022	466
31.047	444	31.073	467
31.098	443	31.123	468
31.149	443	31.174	467
31.200	443	31.224	468
31.250	443	31.276	468
31.301	444	31.326	467
31.351	444	31.377	467
31.403	444	31.427	467
31.453	443	31.478	467
31.504	444	31.529	466
31.554	444	31.580	467
31.605	443	31.630	466
31.655	443	31.681	468
31.707	443	31.731	466
31.757	444	31.782	467
31.808	443	31.833	467
31.858	443	31.884	468
31.909	443	31.934	468
31.960	443	31.985	466
32.011	444	32.035	467
32.061	444	32.087	468
32.112	444	32.137	468
32.162	444	32.188	468
32.214	445	32.238	469
32.264	444	32.289	468
32.315	442	32.340	468
32.365	444	32.391	467
32.416	444	32.441	467
32.467	443	32.492	467
32.518	442	32.542	468
32.568	443	32.593	468
32.619	442	32.644	468
32.669	442	32.695	467
32.720	443	32.745	468
32.771	444	32.796	467
32.822	443	32.846	467
32.872	444	32.898	468
32.923	444	32.948	468
32.973	443	32.999	468
33.025	444	33.049	469
33.075	443	33.100	467
33.126	443	33.151	468
33.176	443	33.202	467
33.227	443	33.253	468
33.278	443	33.303	468
33.329	443	33.354	468
33.379	443	33.404	467
33.430	444	33.456	468
33.480	443	33.506	468
33.531	442	33.557	467
33.582	444	33.607	467
33.633	442	33.658	467
33.683	443	33.709	466
33.734	443	33.760	468
33.784	443	33.810	469
33.836	443	33.861	467
33.886	443	33.911	467
33.937	442	33.963	467
33.987	442	34.013	467
34.038	443	34.064	466
34.089	443	34.114	468
34.140	444	34.165	467
34.190	442	34.215	466
34.241	443	34.267	467
34.291	445	34.317	468
34.342	443	34.368	469
34.393	443	34.418	468
34.444	443	34.469	467
34.494	443	34.520	467
34.545	443	34.571	467
34.595	444	34.621	468
34.647	444	34.672	468
34.697	443	34.722	468
34.748	444	34.774	467
34.798	444	34.824	467
34.849	443	34.875	468
34.900	444	34.925	468
34.951	442	34.976	468
35.001	444	35.027	468
35.052	443	35.078	468
35.102	443	35.128	467
35.153	443	35.179	468
35.204	443	35.229	467
35.255	445	35.280	468
35.305	443	35.331	466
35.356	444	35.382	467
35.406	443	35.432	468
35.458	443	35.483	468
35.508	442	35.533	468
35.559	443	35.585	468
35.609	443	35.635	468
35.660	444	35.686	467
35.711	443	35.736	467
35.762	443	35.787	468
35.812	443	35.838	467
35.863	443	35.889	467
35.913	443	35.939	468
35.964	443	35.990	467
36.015	444	36.040	467
36.066	444	36.091	467
36.116	444	36.142	467
36.167	444	36.193	467
36.217	443	36.243	468
36.269	445	36.294	468
36.319	443	36.344	468
36.370	443	36.396	468
36.420	443	36.446	466
36.471	444	36.497	468
36.522	443	36.547	468
36.573	444	36.598	468
36.623	444	36.649	468
36.674	444	36.700	467
36.724	444	36.750	467
36.775	444	36.801	468
36.826	443	36.851	468
36.877	443	36.902	468
36.927	442	36.953	468
36.978	444	37.004	468
37.028	443	37.054	468
37.080	443	37.105	467
37.130	443	37.155	468
37.181	443	37.207	468
37.231	443	37.257	468
37.282	443	37.308	468
37.333	442	37.358	468
37.384	444	37.409	468
37.434	443	37.460	468
37.485	442	37.511	468
37.535	443	37.561	467
37.587	443	37.612	468
37.637	444	37.662	468
37.688	443	37.713	467
37.738	443	37.764	468
37.789	443	37.815	468
37.839	443	37.865	467
37.891	443	37.916	467
37.941	442	37.966	468
37.992	443	38.018	468
38.042	444	38.068	467
38.093	444	38.119	467
38.144	444	38.169	467
38.195	444	38.220	468
38.245	443	38.271	468
38.296	444	38.322	468
38.346	441	38.372	468
38.398	443	38.423	468
38.448	443	38.473	468
38.499	443	38.524	467
38.549	443	38.575	468
38.600	443	38.626	466
38.650	444	38.676	467
38.702	444	38.727	468
38.752	443	38.777	468
38.803	444	38.829	468
38.853	444	38.879	468
38.904	443	38.930	468
38.955	443	38.980	467
39.006	444	39.031	467
39.056	442	39.082	467
39.107	443	39.133	466
39.157	443	39.183	466
39.209	443	39.234	466
39.259	444	39.284	468
39.310	444	39.335	467
39.360	443	39.386	467
39.411	444	39.437	468
39.461	443	39.487	468
39.513	443	39.538	467
39.563	443	39.588	467
39.614	443	39.640	468
39.664	444	39.690	468
39.715	444	39.741	467
39.766	443	39.791	467
39.817	443	39.842	468
39.867	444	39.893	469
39.918	444	39.944	468
39.968	443	39.994	468
40.020	443	40.045	468
40.070	443	40.095	468
40.121	444	40.147	468
40.171	443	40.197	469
40.222	444	40.248	467
40.272	443	40.298	468
40.324	444	40.349	467
40.374	444	40.399	468
40.425	443	40.451	468
40.475	444	40.501	468
40.526	442	40.552	467
40.577	443	40.602	468
40.628	442	40.653	467
40.678	444	40.704	467
40.729	444	40.755	467
40.779	444	40.805	467
40.831	444	40.856	467
40.881	444	40.906	467
40.932	443	40.958	468
40.982	444	41.008	468
41.033	443	41.059	468
41.083	443	41.109	468
41.135	444	41.160	468
41.185	443	41.210	469
41.236	443	41.262	467
41.286	443	41.312	468
41.337	444	41.363	467
41.388	443	41.413	468
41.439	443	41.464	468
41.489	443	41.515	468
41.540	444	41.566	467
41.590	444	41.616	468
41.642	444	41.667	468
41.692	442	41.717	467
41.743	444	41.769	467
41.793	444	41.819	468
41.844	443	41.870	467
41.894	443	41.920	467
41.946	443	41.971	467
41.996	444	42.021	467
42.047	443	42.073	467
42.097	443	42.123	468
42.148	444	42.174	468
42.199	443	42.224	468
42.250	444	42.275	468
42.300	445	42.326	468
42.351	444	42.377	468
42.401	443	42.427	468
42.453	443	42.478	468
42.503	442	42.528	467
42.554	442	42.580	468
42.604	443	42.630	467
42.655	443	42.681	466
42.705	443	42.731	468
42.757	443	42.782	468
42.808	442	42.832	468
42.858	444	42.884	467
42.909	443	42.934	468
42.959	443	42.985	468
43.011	444	43.035	467
43.061	444	43.086	467
43.112	443	43.137	466
43.162	444	43.188	468
43.213	442	43.238	468
43.264	443	43.289	468
43.315	443	43.339	468
43.365	443	43.391	468
43.416	443	43.441	468
43.466	445	43.492	467
43.518	444	43.542	467
43.568	444	43.593	467
43.619	442	43.643	468
43.669	443	43.695	467
43.720	444	43.745	468
43.770	444	43.796	468
43.822	444	43.846	468
43.872	443	43.897	469
43.923	443	43.948	468
43.973	443	43.999	467
44.024	443	44.049	468
44.075	444	44.100	467
44.126	444	44.150	468
44.176	443	44.202	467
44.227	444	44.252	468
44.277	443	44.303	466
44.329	444	44.353	467
44.379	444	44.404	467
44.430	442	44.454	467
44.480	443	44.506	468
44.531	442	44.556	468
44.581	443	44.607	468
44.633	444	44.657	468
44.683	443	44.708	468
44.734	443	44.759	466
44.784	443	44.810	468
44.835	444	44.860	467
44.886	443	44.911	468
44.937	443	44.961	468
44.987	443	45.013	468
45.038	443	45.063	467
45.088	443	45.114	467
45.140	444	45.164	468
45.190	443	45.215	468
45.241	443	45.265	468
45.291	444	45.317	466
45.342	443	45.367	468
45.392	443	45.418	469
45.444	441	45.468	468
45.494	443	45.519	468
45.545	442	45.570	468
45.595	443	45.621	467
45.646	443	45.671	468
45.697	443	45.722	468
45.748	444	45.773	466
45.798	442	45.824	468
45.849	443	45.875	466
45.899	444	45.925	468
45.951	444	45.976	468
46.001	444	46.026	467
46.052	443	46.078	467
46.102	442	46.128	468
46.153	443	46.179	468
46.203	444	46.229	468
46.255	442	46.280	468
46.305	443	46.330	468
46.356	444	46.382	468
46.406	444	46.432	467
46.457	443	46.483	468
46.508	443	46.533	467
46.559	443	46.584	467
46.609	444	46.635	468
46.660	442	46.686	468
46.710	443	46.736	467
46.762	444	46.787	468
46.812	443	46.837	469
46.863	443	46.889	468
46.913	443	46.939	468
46.964	443	46.990	468
47.014	443	47.040	467
47.066	443	47.091	467
