#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
17.209	315	17.234	428
17.260	318	17.286	378
17.310	324	17.336	335
17.361	335	17.387	298
17.412	349	17.437	270
17.463	365	17.488	251
17.514	383	17.539	246
17.564	402	17.590	249
17.615	421	17.640	265
17.666	438	17.691	292
17.717	454	17.741	327
17.767	466	17.793	370
17.818	476	17.843	418
17.868	481	17.894	468
17.920	483	17.944	517
17.970	480	17.995	564
18.021	473	18.045	605
18.071	463	18.097	640
18.122	451	18.147	665
18.172	436	18.198	680
18.224	420	18.248	682
18.274	403	18.299	675
18.325	387	18.350	657
18.375	373	18.401	631
18.426	359	18.451	593
18.477	349	18.502	551
18.528	343	18.552	503
18.578	338	18.604	453
18.629	338	18.654	402
18.679	341	18.705	355
18.731	347	18.755	315
18.781	356	18.806	280
18.832	367	18.856	257
18.882	381	18.908	243
18.933	394	18.958	245
18.983	409	19.009	252
19.035	423	19.059	275
19.085	435	19.110	305
19.136	446	19.161	346
19.186	452	19.212	391
19.237	458	19.262	441
19.288	460	19.313	492
19.339	460	19.363	540
19.389	457	19.415	586
19.440	451	19.465	625
19.490	443	19.516	655
19.542	433	19.566	675
19.592	423	19.617	685
19.643	411	19.667	682
19.693	400	19.719	670
19.744	388	19.769	647
19.794	379	19.820	616
19.846	371	19.870	575
19.896	364	19.921	529
19.947	360	19.972	478
19.997	360	20.023	428
20.048	359	20.073	379
20.099	363	20.124	334
20.150	368	20.174	295
20.200	375	20.226	267
20.251	383	20.276	248
20.301	392	20.327	240
20.353	401	20.377	246
20.403	410	20.428	260
20.454	419	20.478	288
20.504	426	20.530	322
20.555	432	20.581	366
20.605	436	20.631	413
20.657	438	20.682	464
20.707	439	20.732	515
20.758	439	20.784	563
20.808	436	20.834	606
20.859	432	20.885	641
20.910	426	20.935	668
20.961	420	20.986	682
21.011	413	21.037	685
21.062	407	21.088	677
21.112	401	21.138	661
21.164	394	21.189	632
21.214	389	21.239	597
21.265	385	21.291	552
21.315	383	21.341	506
21.366	381	21.392	454
21.416	381	21.442	405
21.468	382	21.493	357
21.518	384	21.543	316
