#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 16:56:22 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
35.052	492	35.078	568
35.102	489	35.128	569
35.154	486	35.179	574
35.204	481	35.229	582
35.255	474	35.281	588
35.305	470	35.331	594
35.356	467	35.382	601
35.407	462	35.432	608
35.458	458	35.483	614
35.508	454	35.534	618
35.559	453	35.585	623
35.609	452	35.635	625
35.661	452	35.686	626
35.711	454	35.736	624
35.762	457	35.788	620
35.812	460	35.838	617
35.863	465	35.889	613
35.913	468	35.939	607
35.965	473	35.990	600
36.015	479	36.040	594
36.066	482	36.092	587
36.116	487	36.142	581
36.167	491	36.193	576
36.218	492	36.243	572
36.269	493	36.294	570
36.319	493	36.345	568
36.370	492	36.396	567
36.420	491	36.446	570
36.472	487	36.497	573
36.522	483	36.547	577
36.573	480	36.599	584
36.623	476	36.649	589
36.674	470	36.700	593
36.724	466	36.750	600
36.776	463	36.801	606
36.826	459	36.851	612
36.877	457	36.903	616
36.927	454	36.953	620
36.978	454	37.004	620
37.029	454	37.054	622
37.080	456	37.105	621
37.130	458	37.156	618
37.181	461	37.207	615
37.231	464	37.257	611
37.283	469	37.308	605
37.333	474	37.358	600
37.384	478	37.410	593
37.434	484	37.460	588
37.485	486	37.511	584
37.535	490	37.561	578
37.587	491	37.612	575
37.637	492	37.662	572
37.688	493	37.714	570
37.738	492	37.764	573
37.789	490	37.815	574
37.840	486	37.865	577
37.891	483	37.916	580
37.942	479	37.967	584
37.992	475	38.018	589
38.043	470	38.068	595
38.094	466	38.119	599
38.145	463	38.169	605
38.195	459	38.221	608
38.246	458	38.271	613
38.296	455	38.322	616
38.348	455	38.372	617
38.398	455	38.423	616
38.449	457	38.473	616
38.499	460	38.525	615
38.550	462	38.575	611
38.600	466	38.626	608
38.652	471	38.676	603
38.702	474	38.727	599
38.753	479	38.778	594
38.803	483	38.829	588
38.854	486	38.879	584
38.905	489	38.930	580
38.956	490	38.980	578
39.006	491	39.032	576
39.057	491	39.082	574
39.107	490	39.133	576
39.159	488	39.183	578
39.209	486	39.234	579
39.260	482	39.284	581
39.310	477	39.336	587
39.361	474	39.386	590
39.411	469	39.437	597
39.463	466	39.487	600
39.513	463	39.538	604
39.564	459	39.589	608
39.614	458	39.640	611
39.665	456	39.690	613
39.716	456	39.741	614
39.767	457	39.791	613
39.817	458	39.843	613
39.868	462	39.893	612
39.918	464	39.944	610
39.970	467	39.994	606
40.020	471	40.045	601
40.071	474	40.095	597
40.121	478	40.147	593
40.172	483	40.197	589
40.222	487	40.248	585
40.274	488	40.298	583
40.324	490	40.349	580
40.375	491	40.400	578
40.425	490	40.451	579
40.476	490	40.501	579
