#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
19.795	439	19.821	518
19.845	482	19.871	516
19.896	520	19.922	509
19.948	554	19.972	501
19.998	578	20.023	490
20.049	594	20.074	479
20.099	598	20.125	467
20.150	594	20.175	455
20.201	579	20.226	445
20.252	556	20.276	435
20.302	524	20.328	429
20.353	486	20.378	421
20.403	444	20.429	419
20.455	400	20.479	416
20.505	355	20.530	419
20.556	313	20.580	421
20.606	276	20.632	428
20.657	245	20.682	434
20.707	222	20.733	443
20.759	210	20.783	452
20.809	209	20.834	462
20.860	215	20.885	471
20.910	230	20.936	480
20.961	256	20.986	487
21.012	288	21.037	493
21.063	328	21.087	498
21.113	370	21.139	499
21.164	415	21.189	500
21.214	459	21.240	497
21.266	500	21.290	496
21.316	536	21.341	491
21.367	566	21.391	486
21.417	587	21.443	478
21.468	597	21.493	472
21.518	596	21.544	465
21.570	589	21.594	459
21.620	569	21.645	452
21.671	541	21.696	446
21.721	506	21.747	443
21.772	467	21.797	440
21.823	423	21.848	438
21.874	378	21.898	437
21.924	336	21.950	439
21.975	296	22.000	440
22.025	260	22.051	444
22.077	234	22.101	447
22.127	216	22.152	452
22.178	210	22.202	457
22.228	211	22.254	462
22.279	222	22.304	466
22.329	243	22.355	471
22.381	271	22.405	474
22.431	307	22.456	476
22.482	348	22.507	480
22.532	392	22.558	480
22.583	436	22.608	481
22.634	479	22.659	479
22.685	517	22.709	479
22.735	550	22.761	476
22.786	576	22.811	475
22.836	591	22.862	471
22.888	596	22.912	470
22.938	593	22.963	467
22.989	579	23.013	464
23.039	555	23.065	462
23.090	524	23.116	460
23.140	487	23.166	460
23.192	445	23.217	458
23.242	401	23.267	458
23.293	358	23.319	457
23.343	316	23.369	457
23.394	280	23.420	455
23.445	249	23.470	457
23.496	226	23.521	456
23.546	214	23.572	458
23.597	212	23.623	457
23.647	217	23.673	458
23.699	234	23.724	459
23.749	258	23.774	459
23.800	289	23.826	460
23.850	328	23.876	460
23.901	370	23.927	462
23.951	413	23.977	460
24.003	456	24.028	463
24.053	496	24.078	463
24.104	532	24.130	465
24.154	561	24.180	465
24.205	580	24.231	469
24.256	591	24.281	469
24.307	593	24.332	472
24.357	583	24.383	472
24.408	565	24.434	474
24.458	539	24.484	475
24.510	504	24.535	476
24.560	466	24.585	476
24.611	424	24.637	475
24.661	381	24.687	477
24.712	339	24.738	473
24.762	301	24.788	471
24.814	267	24.839	467
24.864	241	24.889	466
24.915	223	24.941	460
24.965	216	24.991	457
25.016	217	25.042	453
25.067	228	25.092	451
25.118	248	25.143	447
25.168	275	25.194	445
25.219	309	25.245	444
25.269	349	25.295	443
25.321	390	25.346	444
25.371	433	25.396	445
25.422	474	25.448	448
25.472	512	25.498	450
25.523	543	25.549	458
25.573	568	25.599	461
25.625	582	25.650	467
25.675	588	25.700	472
25.726	585	25.752	478
25.776	572	25.802	482
25.827	550	25.853	488
25.878	519	25.903	490
25.929	485	25.954	492
25.979	445	26.005	493
26.030	403	26.056	492
26.080	361	26.106	491
26.132	322	26.157	486
26.182	287	26.207	480
26.233	258	26.259	475
26.283	236	26.309	468
26.334	224	26.360	459
26.384	222	26.410	452
26.436	226	26.461	445
26.486	242	26.511	439
