#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
48.993	402	49.019	325
49.044	397	49.069	330
49.095	393	49.120	339
49.145	389	49.171	357
49.196	384	49.222	379
49.246	382	49.272	407
49.298	381	49.323	437
49.348	381	49.373	468
49.399	379	49.424	498
49.449	383	49.475	528
49.500	385	49.526	554
49.550	389	49.576	574
49.602	394	49.627	589
49.652	398	49.677	597
49.703	404	49.729	599
49.753	410	49.779	593
49.804	416	49.830	582
49.855	420	49.880	562
49.906	425	49.931	541
49.956	426	49.982	512
50.007	430	50.033	483
50.057	430	50.083	453
50.109	429	50.134	423
50.159	426	50.184	394
50.210	424	50.235	370
50.260	418	50.286	352
50.311	412	50.337	337
50.361	405	50.387	331
50.413	398	50.438	331
50.463	393	50.488	339
50.514	386	50.540	351
50.564	381	50.590	371
50.615	375	50.641	396
50.666	373	50.691	425
50.717	372	50.742	452
50.767	370	50.793	483
50.818	373	50.844	512
50.868	376	50.894	539
50.920	380	50.945	561
50.970	386	50.995	577
51.021	393	51.047	589
51.071	401	51.097	595
51.122	408	51.148	593
51.172	416	51.198	584
51.224	423	51.249	570
51.274	430	51.299	549
51.325	434	51.351	526
51.375	437	51.401	496
51.426	440	51.452	468
51.477	438	51.502	439
51.528	436	51.553	411
51.578	432	51.604	385
51.629	426	51.655	365
51.679	419	51.705	350
51.731	411	51.756	339
51.781	402	51.806	337
51.832	394	51.858	340
51.882	385	51.908	350
51.933	377	51.959	366
51.983	371	52.009	386
52.035	366	52.060	411
52.085	363	52.110	440
52.136	361	52.162	467
52.186	364	52.212	496
52.237	366	52.263	522
52.288	371	52.313	546
52.339	378	52.364	565
52.389	386	52.415	577
52.440	395	52.466	587
52.490	405	52.516	588
52.542	414	52.567	583
52.592	424	52.617	572
52.643	431	52.669	556
52.693	439	52.719	533
52.744	444	52.770	510
52.794	447	52.820	482
52.846	447	52.871	454
52.896	446	52.921	426
