#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
22.482	427	22.506	575
22.532	390	22.557	530
22.583	347	22.608	479
22.633	318	22.659	419
22.684	281	22.709	380
22.734	257	22.760	337
22.786	245	22.810	326
22.836	243	22.861	301
22.887	250	22.912	295
22.937	260	22.963	306
22.988	277	23.013	318
23.039	311	23.064	352
23.090	345	23.114	389
23.140	388	23.166	438
23.191	420	23.216	483
23.241	463	23.267	535
23.293	494	23.317	594
23.343	542	23.368	635
23.394	561	23.419	680
23.444	585	23.470	713
23.495	599	23.520	742
23.546	607	23.571	755
23.597	599	23.621	747
23.647	583	23.672	746
23.698	566	23.723	730
23.748	536	23.774	702
23.799	507	23.824	665
23.850	475	23.875	618
23.901	427	23.925	567
23.951	391	23.977	509
24.002	347	24.027	468
24.052	312	24.078	419
24.104	287	24.128	378
24.154	265	24.179	338
24.205	257	24.230	303
24.255	248	24.281	295
24.306	249	24.332	296
24.357	272	24.382	305
24.408	293	24.433	322
24.458	311	24.483	356
24.509	348	24.535	396
24.559	380	24.585	443
24.610	425	24.636	490
24.661	462	24.686	540
24.712	504	24.737	593
24.762	525	24.788	650
24.813	555	24.839	686
24.863	583	24.889	718
24.915	592	24.940	749
24.965	598	24.990	755
25.016	596	25.042	751
25.066	583	25.092	750
25.117	559	25.143	723
25.168	530	25.193	692
25.219	502	25.244	658
25.269	470	25.294	608
25.320	426	25.346	562
25.370	393	25.396	500
25.421	359	25.447	452
25.472	318	25.497	411
25.523	300	25.548	373
25.573	278	25.599	333
25.624	263	25.650	309
25.674	259	25.700	292
25.726	268	25.751	297
25.776	272	25.801	300
25.827	289	25.853	328
25.877	323	25.903	367
25.928	353	25.954	403
25.979	389	26.004	451
26.030	437	26.055	507
26.080	459	26.106	561
26.131	495	26.157	601
26.181	529	26.207	652
26.232	555	26.258	694
26.283	574	26.308	724
26.334	585	26.359	747
26.384	587	26.410	750
26.435	581	26.461	754
26.485	575	26.511	738
26.537	559	26.562	723
26.587	527	26.612	684
26.638	494	26.664	648
26.688	467	26.714	600
26.739	430	26.765	552
26.790	395	26.815	503
26.841	362	26.866	454
26.891	337	26.917	395
26.942	302	26.968	360
26.992	284	27.018	329
27.043	271	27.069	298
27.094	266	27.119	301
27.145	269	27.170	307
27.195	285	27.221	305
27.246	293	27.272	342
27.296	327	27.322	370
27.348	350	27.373	412
27.398	388	27.423	463
27.449	420	27.475	513
27.499	460	27.525	569
27.550	489	27.576	618
27.601	512	27.626	655
27.652	547	27.677	703
27.702	562	27.728	732
27.753	571	27.779	750
27.803	581	27.829	763
27.854	581	27.880	752
27.905	574	27.930	737
27.956	557	27.981	711
28.006	522	28.032	680
28.057	498	28.083	642
28.107	467	28.133	592
28.159	430	28.184	538
28.209	394	28.234	492
28.260	365	28.286	436
28.310	335	28.336	388
28.361	305	28.387	351
28.412	290	28.437	331
28.463	281	28.488	305
28.513	273	28.539	298
28.564	276	28.590	297
28.614	290	28.640	318
28.666	302	28.691	336
28.716	331	28.741	378
28.767	350	28.792	421
28.817	384	28.843	471
28.868	418	28.894	523
28.918	452	28.944	570
28.970	476	28.995	616
29.020	525	29.045	668
29.071	537	29.097	704
29.121	562	29.147	728
29.172	567	29.198	748
29.223	577	29.248	751
29.274	574	29.299	750
29.324	566	29.350	731
29.375	552	29.401	710
29.425	530	29.451	672
29.477	501	29.502	627
29.527	474	29.552	575
29.578	439	29.603	531
29.628	396	29.654	480
29.679	378	29.705	428
29.729	340	29.755	382
29.781	309	29.806	351
29.831	290	29.856	327
29.882	281	29.908	306
29.932	275	29.958	294
29.983	279	30.009	301
30.034	284	30.059	324
30.085	298	30.110	352
30.135	330	30.161	395
30.186	350	30.212	430
30.236	382	30.262	485
30.288	418	30.313	531
30.338	442	30.363	584
30.389	479	30.414	633
30.439	510	30.465	678
30.490	533	30.516	713
30.540	550	30.566	728
30.592	564	30.617	749
30.642	574	30.667	742
30.693	569	30.719	744
30.743	562	30.769	716
30.794	541	30.820	705
30.845	530	30.870	665
30.896	495	30.921	622
30.946	467	30.972	565
30.997	440	31.023	521
31.047	408	31.073	470
31.099	376	31.124	423
31.149	345	31.174	380
31.200	314	31.226	340
31.250	298	31.276	325
31.301	292	31.327	309
31.351	282	31.377	305
31.403	285	31.428	324
31.453	292	31.478	332
31.504	308	31.530	363
31.554	329	31.580	404
31.605	354	31.631	440
31.656	380	31.681	493
31.707	414	31.732	543
31.757	451	31.783	590
31.808	483	31.834	639
31.858	505	31.884	677
31.910	529	31.935	713
31.960	547	31.985	735
32.011	560	32.037	751
32.061	571	32.087	742
32.112	564	32.138	733
32.162	559	32.188	718
32.214	548	32.239	687
32.264	522	32.289	641
32.315	507	32.341	610
32.365	471	32.391	555
32.416	440	32.442	507
32.467	401	32.492	460
32.518	379	32.543	415
32.568	342	32.594	378
32.619	314	32.645	339
32.669	299	32.695	322
32.721	294	32.746	316
32.771	281	32.796	312
32.822	283	32.848	314
32.872	293	32.898	345
32.923	311	32.949	374
32.973	332	32.999	404
33.025	349	33.050	457
33.075	375	33.100	500
33.126	407	33.152	553
33.176	440	33.202	600
33.227	465	33.253	641
33.279	501	33.303	687
33.329	526	33.354	708
33.380	547	33.405	737
33.430	560	33.456	744
33.481	571	33.506	737
33.532	565	33.557	728
33.583	560	33.607	708
33.633	545	33.659	677
33.684	521	33.709	633
33.734	503	33.760	595
33.786	470	33.810	549
33.836	437	33.861	503
33.887	411	33.911	455
33.937	382	33.963	411
33.988	356	34.013	376
34.038	327	34.064	343
34.090	304	34.114	328
34.140	297	34.165	319
34.191	288	34.216	317
34.241	286	34.267	325
34.292	290	34.317	360
34.343	304	34.368	388
34.394	319	34.418	435
34.444	346	34.470	463
34.495	374	34.520	515
34.545	414	34.571	558
34.597	442	34.621	606
34.647	480	34.672	651
34.698	494	34.722	678
34.748	524	34.774	714
34.799	551	34.824	734
34.849	553	34.875	736
34.901	570	34.925	730
34.951	564	34.976	726
35.002	560	35.027	694
35.052	550	35.078	666
35.103	525	35.128	627
35.154	498	35.179	584
35.205	482	35.229	534
35.255	448	35.281	496
35.306	415	35.331	446
35.356	383	35.382	409
35.408	346	35.432	365
35.458	328	35.483	346
35.509	310	35.533	332
35.559	299	35.585	323
35.610	286	35.635	322
35.660	286	35.686	341
35.712	291	35.736	368
35.762	305	35.787	400
35.813	320	35.838	441
35.863	346	35.889	469
35.914	378	35.939	529
35.965	412	35.990	565
36.016	439	36.040	614
36.066	470	36.092	653
36.117	503	36.142	688
36.167	521	36.193	702
36.219	553	36.243	717
36.269	555	36.294	724
36.320	569	36.344	716
36.370	563	36.396	709
36.421	559	36.447	677
36.471	545	36.497	651
36.523	529	36.548	616
36.573	501	36.598	569
36.624	472	36.650	532
36.674	443	36.700	481
36.725	417	36.751	440
36.776	380	36.801	404
36.827	351	36.852	370
36.877	328	36.903	341
36.928	306	36.954	339
36.978	287	37.004	327
37.030	280	37.055	340
37.080	284	37.105	350
37.131	290	37.157	382
37.181	303	37.207	406
37.232	319	37.258	446
37.282	341	37.308	480
37.334	377	37.359	531
37.384	411	37.409	577
37.435	441	37.461	619
37.485	467	37.511	653
37.536	501	37.562	687
37.587	517	37.612	701
37.638	542	37.663	719
37.688	562	37.714	724
37.739	570	37.765	715
37.789	565	37.815	699
37.841	561	37.866	677
37.891	547	37.916	642
37.942	536	37.968	610
37.992	511	38.018	575
38.043	474	38.069	519
38.093	443	38.119	476
38.145	422	38.170	437
38.195	384	38.220	402
38.246	358	38.272	371
38.296	333	38.322	346
38.347	306	38.373	334
38.398	298	38.423	331
38.449	278	38.474	349
38.499	279	38.525	360
38.550	286	38.576	390
38.600	301	38.626	409
38.652	321	38.677	458
38.702	352	38.727	496
38.753	379	38.779	543
38.803	410	38.829	577
38.854	433	38.880	624
38.904	470	38.930	653
38.956	501	38.981	682
39.006	524	39.031	696
39.057	546	39.083	707
39.107	554	39.133	715
39.158	573	39.184	702
39.209	566	39.234	691
39.260	563	39.285	663
39.310	550	39.336	631
39.361	533	39.387	586
39.411	511	39.437	556
39.463	483	39.488	519
39.513	450	39.538	477
39.564	415	39.590	437
39.614	383	39.640	401
39.665	349	39.691	374
39.715	321	39.741	352
39.767	301	39.792	351
39.817	282	39.842	340
39.868	285	39.894	349
39.918	282	39.944	364
39.969	286	39.995	397
40.020	299	40.045	435
40.071	317	40.096	472
40.122	348	40.147	504
40.172	370	40.198	539
40.223	402	40.248	581
40.274	445	40.299	620
40.325	471	40.349	655
40.375	510	40.401	678
40.426	542	40.451	698
40.476	549	40.502	709
40.528	563	40.552	710
40.578	566	40.603	691
40.629	574	40.653	676
40.679	563	40.705	653
40.730	550	40.755	628
40.780	535	40.806	584
40.832	511	40.856	547
40.882	482	40.907	500
40.933	439	40.958	466
40.983	409	41.009	434
41.034	384	41.059	399
41.085	349	41.110	379
41.136	329	41.160	361
41.186	301	41.212	349
41.237	286	41.262	361
41.287	280	41.313	369
41.339	275	41.363	383
41.389	285	41.414	406
41.440	296	41.464	438
41.490	320	41.516	469
41.541	349	41.566	509
41.591	378	41.617	561
41.643	405	41.667	588
41.693	436	41.718	621
41.744	480	41.769	654
41.794	504	41.820	675
41.845	537	41.870	687
41.896	550	41.921	692
41.947	566	41.971	699
41.997	570	42.023	683
42.048	575	42.073	668
42.098	567	42.124	644
42.150	555	42.174	613
42.200	532	42.225	575
42.251	502	42.275	540
42.301	480	42.327	502
42.352	437	42.377	462
42.402	415	42.428	432
42.454	373	42.478	401
42.504	345	42.529	380
42.555	321	42.580	369
42.605	294	42.631	359
42.656	283	42.681	360
42.707	275	42.732	376
42.758	276	42.782	393
42.808	284	42.834	414
