#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:13:37 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
18.173	373	18.199	479
18.223	408	18.249	477
18.274	448	18.300	479
18.325	485	18.350	478
18.376	526	18.401	478
18.426	562	18.451	478
18.477	594	18.503	478
18.527	618	18.553	478
18.578	635	18.604	477
18.629	641	18.654	478
18.680	642	18.705	477
18.730	631	18.756	477
18.781	613	18.807	475
18.831	587	18.857	477
18.883	555	18.908	476
18.933	518	18.958	476
18.984	478	19.010	476
19.034	438	19.060	476
19.085	400	19.111	478
19.136	364	19.161	477
19.187	332	19.212	478
19.237	309	19.262	477
19.288	294	19.314	478
19.338	286	19.364	477
19.389	287	19.415	478
19.440	298	19.465	477
19.491	315	19.516	478
19.541	342	19.567	477
19.592	373	19.618	477
19.642	410	19.668	477
19.694	450	19.719	476
19.744	489	19.769	477
19.795	528	19.821	476
19.845	564	19.871	477
19.896	594	19.922	476
19.947	618	19.972	478
19.998	633	20.023	476
20.048	640	20.073	477
20.099	639	20.125	476
20.149	627	20.175	477
20.200	609	20.226	477
20.251	581	20.276	477
20.302	549	20.327	477
20.352	514	20.378	477
20.403	475	20.429	477
20.453	435	20.479	477
20.505	396	20.530	478
20.555	363	20.580	478
20.606	332	20.632	477
20.656	309	20.682	477
20.707	295	20.733	477
20.758	288	20.783	477
20.809	291	20.834	477
20.859	302	20.885	477
20.910	320	20.936	477
20.960	347	20.986	476
21.011	379	21.037	477
21.062	414	21.087	476
21.113	455	21.138	477
21.164	493	21.189	475
21.214	531	21.240	477
21.265	564	21.290	476
21.316	595	21.341	477
21.367	616	21.391	477
21.417	631	21.443	475
21.468	637	21.493	478
21.518	636	21.544	476
21.570	624	21.594	477
21.620	604	21.645	477
21.671	577	21.696	478
21.721	547	21.747	478
21.772	511	21.797	478
21.822	471	21.848	478
21.874	434	21.898	479
21.924	395	21.949	479
21.975	361	22.000	479
22.025	332	22.051	478
22.076	311	22.101	477
22.127	297	22.152	477
22.178	291	22.202	477
22.228	293	22.254	477
22.279	305	22.304	477
22.329	325	22.355	476
22.381	350	22.405	476
22.431	383	22.456	477
22.482	419	22.507	476
22.532	457	22.558	476
22.583	495	22.608	475
22.633	533	22.659	476
22.685	566	22.709	476
22.735	594	22.760	476
22.786	616	22.811	477
22.836	630	22.862	476
22.887	635	22.912	478
22.938	633	22.963	478
22.989	620	23.013	478
23.039	600	23.065	477
23.090	573	23.115	479
23.140	542	23.166	478
23.192	505	23.216	479
23.242	467	23.267	478
23.293	430	23.318	478
23.343	390	23.369	479
23.394	361	23.419	477
23.445	331	23.470	478
23.496	312	23.520	477
23.546	298	23.571	476
23.597	293	23.622	476
23.647	296	23.673	477
23.698	310	23.723	476
23.749	329	23.774	477
23.800	355	23.824	475
23.850	387	23.876	476
23.901	424	23.926	475
23.951	460	23.977	476
24.003	498	24.027	475
24.053	535	24.078	477
24.104	567	24.129	476
24.154	595	24.180	476
24.205	615	24.231	476
24.256	627	24.281	477
24.307	632	24.332	478
24.357	629	24.382	479
24.408	615	24.434	479
24.458	596	24.484	478
24.509	570	24.535	480
24.560	538	24.585	479
24.611	501	24.636	478
24.661	464	24.687	478
24.712	427	24.738	480
24.762	392	24.788	478
24.814	360	24.839	478
24.864	332	24.889	477
24.915	312	24.941	477
24.965	300	24.991	477
25.016	296	25.042	476
25.067	299	25.092	477
25.118	313	25.143	476
25.168	332	25.193	476
25.219	360	25.245	475
25.269	391	25.295	477
25.320	426	25.346	474
25.371	464	25.396	476
25.422	501	25.447	475
25.472	537	25.498	476
25.523	566	25.549	476
25.573	595	25.599	477
25.625	613	25.650	476
25.675	626	25.700	478
25.726	630	25.752	478
25.776	626	25.802	479
25.827	613	25.853	479
25.878	592	25.903	478
25.929	565	25.954	479
25.979	533	26.005	478
26.030	499	26.056	479
26.080	460	26.106	478
26.131	424	26.157	479
26.182	389	26.207	478
26.233	358	26.258	478
26.283	332	26.309	477
26.334	313	26.360	477
26.384	303	26.410	476
26.436	298	26.461	475
26.486	303	26.511	475
26.537	316	26.563	474
26.587	337	26.613	475
26.638	364	26.664	475
26.689	394	26.714	475
26.740	431	26.765	476
26.790	467	26.816	475
26.841	503	26.867	475
26.891	538	26.917	477
26.942	568	26.968	477
26.993	595	27.018	479
27.044	613	27.069	477
27.094	623	27.120	478
27.145	627	27.171	479
27.195	622	27.221	479
27.247	609	27.272	480
27.297	589	27.322	479
27.348	562	27.374	480
27.398	530	27.424	479
27.449	495	27.475	480
27.500	458	27.525	478
27.551	422	27.576	480
27.601	388	27.627	477
27.652	357	27.678	477
27.702	332	27.728	477
27.753	314	27.779	476
27.804	304	27.829	476
27.855	302	27.880	476
27.905	306	27.931	475
27.956	321	27.982	475
28.006	340	28.032	475
28.058	368	28.083	473
28.108	399	28.133	474
28.159	434	28.185	475
28.209	470	28.235	476
28.260	506	28.286	476
28.311	540	28.336	477
28.362	569	28.387	477
28.412	595	28.438	478
28.463	612	28.489	478
28.513	624	28.539	478
28.565	625	28.590	480
28.615	619	28.640	479
28.666	605	28.691	480
28.716	585	28.742	480
28.767	557	28.793	479
28.817	525	28.843	479
28.869	490	28.894	479
28.919	455	28.944	478
28.970	417	28.996	478
29.020	386	29.046	477
29.071	356	29.097	478
29.122	332	29.147	476
29.173	317	29.198	477
29.223	307	29.249	475
29.274	304	29.300	474
29.324	309	29.350	474
29.376	324	29.401	475
29.426	345	29.451	475
29.477	372	29.502	475
29.527	402	29.553	475
29.578	438	29.604	476
29.628	472	29.654	476
29.680	508	29.705	475
29.730	540	29.755	477
29.781	570	29.807	477
29.831	594	29.857	478
29.882	610	29.908	479
29.933	621	29.958	480
29.984	622	30.009	478
30.034	615	30.060	480
30.085	601	30.111	480
30.135	580	30.161	481
30.187	553	30.212	480
30.237	522	30.262	479
30.288	487	30.313	477
30.338	453	30.364	476
30.389	418	30.415	478
30.439	385	30.465	477
30.491	356	30.516	477
30.541	333	30.566	475
30.592	318	30.618	476
30.642	308	30.668	474
30.693	306	30.719	474
30.744	314	30.769	474
30.795	327	30.820	474
30.845	348	30.871	474
30.896	375	30.922	476
30.946	407	30.972	476
30.998	441	31.023	475
31.048	475	31.073	476
31.099	511	31.125	477
31.149	543	31.175	478
31.200	571	31.226	477
31.250	593	31.276	479
31.302	610	31.327	479
31.352	619	31.377	480
31.403	619	31.429	480
31.453	613	31.479	481
31.504	599	31.530	480
31.555	576	31.580	480
31.606	549	31.631	480
31.656	517	31.682	479
31.707	483	31.733	478
31.757	449	31.783	477
31.809	414	31.834	477
31.859	384	31.884	476
31.910	356	31.936	476
31.960	334	31.986	474
32.011	319	32.037	476
32.061	310	32.087	474
32.113	310	32.138	475
32.163	316	32.188	473
32.214	331	32.240	474
32.264	352	32.290	474
32.315	379	32.341	474
32.366	410	32.391	475
32.417	445	32.442	475
32.467	478	32.493	477
32.518	513	32.544	477
32.568	544	32.594	479
32.620	572	32.645	479
32.670	593	32.695	479
32.721	608	32.747	480
32.771	615	32.797	480
32.822	617	32.848	480
32.872	609	32.898	481
32.924	594	32.949	479
32.974	571	32.999	480
33.025	544	33.051	479
33.075	514	33.101	478
33.126	480	33.152	478
33.177	446	33.202	477
33.228	411	33.253	476
33.278	381	33.304	475
33.329	353	33.355	474
33.379	333	33.405	474
33.431	320	33.456	474
33.481	312	33.506	473
33.532	312	33.558	474
33.582	321	33.608	474
33.633	337	33.659	475
33.683	357	33.709	474
33.735	384	33.760	475
33.786	415	33.810	476
33.836	447	33.862	478
33.887	482	33.912	479
33.937	515	33.963	478
33.989	545	34.013	478
34.039	572	34.064	479
34.090	593	34.115	479
34.140	608	34.166	479
34.191	614	34.216	481
34.242	613	34.267	479
34.293	604	34.317	480
34.343	589	34.369	479
34.394	569	34.419	479
34.444	541	34.470	478
34.496	510	34.520	478
34.546	478	34.571	476
34.597	443	34.621	476
34.647	410	34.673	475
34.698	380	34.723	475
34.748	354	34.774	475
34.800	335	34.824	473
34.850	321	34.875	475
34.901	314	34.926	474
34.951	315	34.977	475
35.002	323	35.027	474
35.053	339	35.078	476
35.104	359	35.128	475
35.154	387	35.180	476
35.205	417	35.230	476
35.255	451	35.281	476
35.307	484	35.331	477
35.357	517	35.382	479
35.408	547	35.432	479
35.458	572	35.484	480
35.509	592	35.534	481
35.559	606	35.585	480
35.611	613	35.635	479
35.661	610	35.686	480
35.712	603	35.737	480
35.762	586	35.788	479
35.813	564	35.838	479
35.864	535	35.889	477
35.915	506	35.939	477
35.965	473	35.991	477
36.016	440	36.041	476
36.066	408	36.092	475
36.118	379	36.142	474
36.168	353	36.193	475
36.219	335	36.243	474
36.269	322	36.295	477
36.320	316	36.345	474
36.370	318	36.396	476
36.422	327	36.446	473
36.472	342	36.497	475
36.523	365	36.548	475
36.573	392	36.599	477
36.624	423	36.649	477
36.675	454	36.700	478
36.726	487	36.751	478
36.776	519	36.802	480
36.827	548	36.853	479
36.877	573	36.903	480
36.929	591	36.954	480
36.979	604	37.004	479
37.030	609	37.056	480
37.080	607	37.106	479
37.131	598	37.157	478
37.181	582	37.207	477
37.233	560	37.258	478
37.283	533	37.308	476
37.334	502	37.360	477
37.384	470	37.410	475
37.435	438	37.461	476
37.486	406	37.511	476
37.537	378	37.562	476
37.587	354	37.613	474
37.638	336	37.664	474
37.688	323	37.714	473
37.740	320	37.765	474
37.790	320	37.815	476
37.841	330	37.867	476
37.891	347	37.917	477
37.942	369	37.968	476
37.992	395	38.018	478
38.044	425	38.069	476
38.094	458	38.119	479
38.145	491	38.171	478
38.195	521	38.221	479
38.246	549	38.272	479
38.297	573	38.322	480
38.348	590	38.373	480
38.398	603	38.424	478
38.449	607	38.475	480
38.499	606	38.525	478
38.551	595	38.576	478
38.601	578	38.626	477
38.652	556	38.678	476
38.702	529	38.728	475
38.753	499	38.779	476
38.803	467	38.829	475
38.855	436	38.880	476
38.905	404	38.930	474
